gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
ADGRG5,0.087,0.101,,,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),,,
ADGRL1,3.277,2.886,,ADGRL,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),,,
ADIPOR1,18.988,18.573,erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte,ADIPONECTIN,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),heme Metabolism,AMPK signaling pathway;Adipocytokine signaling pathway;Longevity regulating pathway;Non-alcoholic fatty liver disease,AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680;Integration Of Energy Metabolism R-HSA-163685;Metabolism R-HSA-1430728
ADNP,10.511,10.336,,,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),,,
ADORA1,4.512,4.74,,CD39;Adenosine,Adenosine receptor A1,,Morphine addiction;Neuroactive ligand-receptor interaction;Regulation of lipolysis in adipocytes;Renin secretion;Sphingolipid signaling pathway;cAMP signaling pathway;cGMP-PKG signaling pathway,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Nucleotide-like (Purinergic) Receptors R-HSA-418038;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADORA2A,0.263,0.281,,CD39;Adenosine,Adenosine receptor A2a,,Alcoholism;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Parkinson disease;Rap1 signaling pathway;Vascular smooth muscle contraction;cAMP signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Activation Of TRKA Receptors R-HSA-187015;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Metabolism Of Proteins R-HSA-392499;NGF-independant TRKA Activation R-HSA-187024;Nucleotide-like (Purinergic) Receptors R-HSA-418038;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Surfactant Metabolism R-HSA-5683826
ADORA2B,0.172,0.132,,CD39;Adenosine,Adenosine receptor A2b,Hypoxia;Inflammatory Response;Glycolysis;UV Response Dn,Alcoholism;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Rap1 signaling pathway;Vascular smooth muscle contraction,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Metabolism Of Proteins R-HSA-392499;Nucleotide-like (Purinergic) Receptors R-HSA-418038;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Surfactant Metabolism R-HSA-5683826
ADRA1A,0.123,0.086,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),,AMPK signaling pathway;Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Salivary secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (12/13) Signaling Events R-HSA-416482;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRA1B,0.176,0.094,,Adrenaline;Noradrenaline,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Apical Junction,Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Salivary secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (12/13) Signaling Events R-HSA-416482;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRA1D,0.061,,,Adrenaline;Noradrenaline,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a),,Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Neuroactive ligand-receptor interaction;Salivary secretion;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (12/13) Signaling Events R-HSA-416482;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADRA2B,0.254,0.214,,Adrenaline;Noradrenaline,Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),Complement,Neuroactive ligand-receptor interaction;cGMP-PKG signaling pathway,"Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;G Alpha (Z) Signaling Events R-HSA-418597;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Hemostasis R-HSA-109582;Platelet Aggregation (Plug Formation) R-HSA-76009;Platelet Activation, Signaling And Aggregation R-HSA-76002;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790"
ADRB1,0.657,0.24,,Adrenaline;Noradrenaline,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),,Adrenergic signaling in cardiomyocytes;Calcium signaling pathway;Chemical carcinogenesis;Dilated cardiomyopathy;Gap junction;Neuroactive ligand-receptor interaction;Regulation of lipolysis in adipocytes;Renin secretion;Salivary secretion;cAMP signaling pathway;cGMP-PKG signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
