gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
LBP,0.143,0.178,hepatic stellate cell,,Lipopolysaccharide-binding protein (LBP),,Lipid and atherosclerosis;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;Tuberculosis,Cytokine Signaling In Immune System R-HSA-1280215;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807;Regulation Of TLR By Endogenous Ligand R-HSA-5686938;Signaling By Interleukins R-HSA-449147;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll-like Receptor Cascades R-HSA-168898
LBX1,0.035,,,,Transcription factor LBX1 (Ladybird homeobox protein homolog 1),,,
LCAT,0.877,0.96,,,Phosphatidylcholine-sterol acyltransferase,Xenobiotic Metabolism,Cholesterol metabolism;Glycerophospholipid metabolism,"HDL Remodeling R-HSA-8964058;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Remodeling R-HSA-8963899;Transport Of Small Molecules R-HSA-382551"
LDLR,11.863,4.159,paneth cell of epithelium of small intestine;duodenum glandular cell;cortical cell of adrenal gland;serous cell of epithelium of trachea,,Low-density lipoprotein receptor (LDL receptor),TNF-alpha Signaling via NF-kB;Cholesterol Homeostasis;mTORC1 Signaling;Inflammatory Response;UV Response Dn,Aldosterone synthesis and secretion;Bile secretion;Cholesterol metabolism;Cortisol synthesis and secretion;Cushing syndrome;Endocytosis;Hepatitis C;Lipid and atherosclerosis;Ovarian steroidogenesis;Toxoplasmosis,"Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Chylomicron Clearance R-HSA-8964026;Citric Acid Cycle (TCA Cycle) R-HSA-71403;Clathrin-mediated Endocytosis R-HSA-8856828;LDL Clearance R-HSA-8964038;Membrane Trafficking R-HSA-199991;Metabolism R-HSA-1430728;Metabolism Of Fat-Soluble Vitamins R-HSA-6806667;Metabolism Of Vitamins And Cofactors R-HSA-196854;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406;Retinoid Metabolism And Transport R-HSA-975634;Sensory Perception R-HSA-9709957;Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517;Transport Of Small Molecules R-HSA-382551;Vesicle-mediated Transport R-HSA-5653656;Visual Phototransduction R-HSA-2187338"
LENG8,22.599,28.819,,,Leukocyte receptor cluster member 8,,,
LGALS13,0.031,,,,Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13),,,
LGALS14,0.02,,,,Placental protein 13-like (Charcot-Leyden crystal protein 2) (CLC2) (Galectin-14) (Gal-14),,,
LGALS8,6.767,7.828,,,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),,,
LGALSL,2.709,1.856,keratinocyte;epidermal cell,,Galectin-related protein (Galectin-like protein) (Lectin galactoside-binding-like protein),,,
LGR4,19.68,16.413,renal beta-intercalated cell,,Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48),,Wnt signaling pathway,Regulation Of FZD By Ubiquitination R-HSA-4641263;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681
LHCGR,0.028,,,LHB,Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LHR) (LSH-R),,Calcium signaling pathway;Neuroactive ligand-receptor interaction;Ovarian steroidogenesis;Prolactin signaling pathway;cAMP signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Hormone Ligand-Binding Receptors R-HSA-375281;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
LIG3,5.175,5.951,,,DNA ligase 3,G2-M Checkpoint,Base excision repair,
LIG4,3.774,2.727,,,DNA ligase 4,,Non-homologous end-joining,2-LTR Circle Formation R-HSA-164843;DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Disease R-HSA-1643685;Early Phase Of HIV Life Cycle R-HSA-162594;HIV Infection R-HSA-162906;HIV Life Cycle R-HSA-162587;Infectious Disease R-HSA-5663205;Integration Of Provirus R-HSA-162592;Nonhomologous End-Joining (NHEJ) R-HSA-5693571
LILRA6,0.435,0.45,,,Leukocyte immunoglobulin-like receptor subfamily A member 6 (Immunoglobulin-like transcript 8) (ILT-8) (Leukocyte Ig-like receptor),,B cell receptor signaling pathway;Osteoclast differentiation,Adaptive Immune System R-HSA-1280218;Immune System R-HSA-168256;Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933;Innate Immune System R-HSA-168249;Neutrophil Degranulation R-HSA-6798695
LIM2,0.019,,,,Lens fiber membrane intrinsic protein (MP18) (MP19) (MP20),,,
LIMK1,2.768,2.74,,,LIM domain kinase 1 (LIMK-1),,Axon guidance;Fc gamma R-mediated phagocytosis;Human immunodeficiency virus 1 infection;Regulation of actin cytoskeleton;Yersinia infection,"Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPHB-mediated Forward Signaling R-HSA-3928662;Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Nervous System Development R-HSA-9675108;RHO GTPase Effectors R-HSA-195258;RHO GTPases Activate ROCKs R-HSA-5627117;RHO GTPases Activate PAKs R-HSA-5627123;Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482;Sema3A PAK Dependent Axon Repulsion R-HSA-399954;Sema4D In Semaphorin Signaling R-HSA-400685;Sema4D Induced Cell Migration And Growth-Cone Collapse R-HSA-416572;Semaphorin Interactions R-HSA-373755;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
LIN28A,0.016,,,,Protein lin-28 homolog A (Lin-28A) (Zinc finger CCHC domain-containing protein 1),,,Developmental Biology R-HSA-1266738;Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723
LIN28B,0.053,,,,Protein lin-28 homolog B (Lin-28B),,,
LINS1,1.68,1.824,,,Protein Lines homolog 1 (Wnt-signaling molecule Lines homolog 1),,,
LIPC,0.23,0.274,hepatoblast,,Hepatic triacylglycerol lipase (HL) (Hepatic lipase),,Cholesterol metabolism;Glycerolipid metabolism,"Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889;Chylomicron Clearance R-HSA-8964026;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Clearance R-HSA-8964043;Plasma Lipoprotein Remodeling R-HSA-8963899;Transport Of Small Molecules R-HSA-382551"
LIPF,0.035,,duodenum glandular cell,,Gastric triacylglycerol lipase (GL) (Gastric lipase),,Fat digestion and absorption;Glycerolipid metabolism,Digestion R-HSA-8935690;Digestion And Absorption R-HSA-8963743;Digestion Of Dietary Lipid R-HSA-192456
LMBR1L,2.178,2.917,,,Protein LMBR1L (Limb region 1 protein homolog-like) (Lipocalin-1-interacting membrane receptor) (LIMR),,,
LMO1,0.512,0.356,,,Rhombotin-1 (Cysteine-rich protein TTG-1) (LIM domain only protein 1) (LMO-1) (T-cell translocation protein 1),,,Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236;Transcriptional Regulation By RUNX1 R-HSA-8878171
LONP1,9.355,11.848,,,"Lon protease homolog, mitochondrial",Xenobiotic Metabolism,,Cytokine Signaling In Immune System R-HSA-1280215;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;FLT3 Signaling In Disease R-HSA-9682385;Immune System R-HSA-168256;Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807;STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518;Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648;Signaling By FLT3 Fusion Proteins R-HSA-9703465;Signaling By Interleukins R-HSA-449147
LONRF3,3.434,3.286,,,LON peptidase N-terminal domain and RING finger protein 3 (RING finger protein 127),,,
LOXL1,2.759,3.147,chondrocyte,,Lysyl oxidase homolog 1,Epithelial Mesenchymal Transition,,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090;Collagen Formation R-HSA-1474290;Crosslinking Of Collagen Fibrils R-HSA-2243919;Elastic Fibre Formation R-HSA-1566948;Extracellular Matrix Organization R-HSA-1474244
LOXL2,2.248,1.302,endocardial cell;endosteal cell;interstitial cell of ovary,,Lysyl oxidase homolog 2,Epithelial Mesenchymal Transition,,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090;Collagen Formation R-HSA-1474290;Crosslinking Of Collagen Fibrils R-HSA-2243919;Elastic Fibre Formation R-HSA-1566948;Extracellular Matrix Organization R-HSA-1474244
LPA,0.393,0.28,,,Apolipoprotein(a) (Apo(a)) (Lp(a)),,Cholesterol metabolism,"LDL Remodeling R-HSA-8964041;Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824;Plasma Lipoprotein Remodeling R-HSA-8963899;Transport Of Small Molecules R-HSA-382551"
LPAR3,3.487,2.483,,ADGRE,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),,Neuroactive ligand-receptor interaction;PI3K-Akt signaling pathway;Pathways in cancer;Phospholipase D signaling pathway;Rap1 signaling pathway,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Lysosphingolipid And LPA Receptors R-HSA-419408;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
LRATD2,10.394,9.766,,,Protein LRATD2 (Breast cancer membrane protein 101) (LRAT domain-containing 2) (Protein FAM84B) (Protein NSE2),,,
LRBA,11.65,11.523,papillary tips cell,,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein),,,
LRIF1,1.436,1.169,,,Ligand-dependent nuclear receptor-interacting factor 1 (HP1-binding protein enriched in inactive X chromosome protein 1) (HBiX1) (Receptor-interacting factor 1),,,DNA Double-Strand Break Repair R-HSA-5693532;DNA Repair R-HSA-73894;Nonhomologous End-Joining (NHEJ) R-HSA-5693571
LRPPRC,11.884,13.872,,,"Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)",Mitotic Spindle;Oxidative Phosphorylation,,"Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cytoprotection By HMOX1 R-HSA-9707564;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Metabolism R-HSA-1430728;RNA Polymerase II Transcription R-HSA-73857;Respiratory Electron Transport R-HSA-611105;Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200;TP53 Regulates Metabolic Genes R-HSA-5628897;Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517;Transcriptional Regulation By TP53 R-HSA-3700989"
LRRC15,0.014,,,,Leucine-rich repeat-containing protein 15 (Leucine-rich repeat protein induced by beta-amyloid homolog) (hLib),Epithelial Mesenchymal Transition,,
LRRC20,0.624,0.519,,,Leucine-rich repeat-containing protein 20,,,
LRRC3,0.83,0.7,,,Leucine-rich repeat-containing protein 3,,,
LRRC38,0.026,0.009,,,Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38),,,
LRRC45,2.44,2.998,,,Leucine-rich repeat-containing protein 45,,,
LRRC47,12.535,15.048,,,Leucine-rich repeat-containing protein 47,,,
LRRTM1,0.052,0.024,mesothelial cell,NRXN,Leucine-rich repeat transmembrane neuronal protein 1,,,Neurexins And Neuroligins R-HSA-6794361;Neuronal System R-HSA-112316;Protein-protein Interactions At Synapses R-HSA-6794362
LSG1,5.405,5.055,,,Large subunit GTPase 1 homolog (hLsg1),,Ribosome biogenesis in eukaryotes,
LSM12,13.558,10.419,,,Protein LSM12,,,
LTB4R,0.704,1.035,myelocyte,CysLTs;12oxoLTB4,Leukotriene B4 receptor 1 (LTB4-R 1) (LTB4-R1) (Chemoattractant receptor-like 1) (G-protein coupled receptor 16) (P2Y purinoceptor 7) (P2Y7),,Neuroactive ligand-receptor interaction,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Eicosanoid Ligand-Binding Receptors R-HSA-391903;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Leukotriene Receptors R-HSA-391906;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
LTB4R2,0.772,1.073,,CysLTs;12oxoLTB5,Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2),,Calcium signaling pathway;Neuroactive ligand-receptor interaction,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Eicosanoid Ligand-Binding Receptors R-HSA-391903;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Leukotriene Receptors R-HSA-391906;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
LTBR,13.487,14.184,,LT;LIGHT,Tumor necrosis factor receptor superfamily member 3 (Lymphotoxin-beta receptor) (Tumor necrosis factor C receptor) (Tumor necrosis factor receptor 2-related protein) (Tumor necrosis factor receptor type III) (TNF-RIII) (TNFR-III),IL-6/JAK/STAT3 Signaling,Cytokine-cytokine receptor interaction;HIF-1 signaling pathway;Human T-cell leukemia virus 1 infection;Intestinal immune network for IgA production;NF-kappa B signaling pathway;Viral carcinogenesis;Viral protein interaction with cytokine and cytokine receptor,Cytokine Signaling In Immune System R-HSA-1280215;Immune System R-HSA-168256;TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594;TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541
LUC7L,8.839,11.47,,,Putative RNA-binding protein Luc7-like 1 (Putative SR protein LUC7B1) (SR+89),,,
LURAP1,0.171,0.263,,,Leucine rich adaptor protein 1 (Leucine repeat adapter protein 35A),,,
LZIC,7.281,6.239,,,Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein),,,
MAEA,11.098,12.927,,,E3 ubiquitin-protein transferase MAEA,,,
MAGEA11,0.036,,,,Melanoma-associated antigen 11 (Cancer/testis antigen 1.11) (CT1.11) (MAGE-11 antigen),,,
MAGEB2,0.044,,,,Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen),,,
MAGEC1,0.014,,,,Melanoma-associated antigen C1 (Cancer/testis antigen 7.1) (CT7.1) (MAGE-C1 antigen),,,
MAGEC2,0.025,,,,Melanoma-associated antigen C2 (Cancer/testis antigen 10) (CT10) (Hepatocellular carcinoma-associated antigen 587) (MAGE-C2 antigen) (MAGE-E1 antigen),,,
MAK,0.158,0.142,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell,,Serine/threonine-protein kinase MAK,Androgen Response,,
MAN1B1,9.868,11.973,,,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",,N-Glycan biosynthesis;Protein processing in endoplasmic reticulum;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Calnexin/calreticulin Cycle R-HSA-901042;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;ER Quality Control Compartment (ERQC) R-HSA-901032;Infectious Disease R-HSA-5663205;Late SARS-CoV-2 Infection Events R-HSA-9772573;Metabolism Of Proteins R-HSA-392499;N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668;Post-translational Protein Modification R-HSA-597592;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516
MANEA,3.358,2.016,,,"Glycoprotein endo-alpha-1,2-mannosidase (Endo-alpha mannosidase) (Endomannosidase) (hEndo)",,,Asparagine N-linked Glycosylation R-HSA-446203;Metabolism Of Proteins R-HSA-392499;N-glycan Trimming And Elongation In cis-Golgi R-HSA-964739;Post-translational Protein Modification R-HSA-597592;Transport To Golgi And Subsequent Modification R-HSA-948021
MAP1S,3.631,4.378,,,Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1),Mitotic Spindle,,
MAP2K1,4.591,3.625,,,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1),,"Acute myeloid leukemia;Alcoholism;Alzheimer disease;Apelin signaling pathway;Apoptosis;Autophagy;B cell receptor signaling pathway;Bladder cancer;Breast cancer;Cellular senescence;Central carbon metabolism in cancer;Chemical carcinogenesis;Chemokine signaling pathway;Choline metabolism in cancer;Cholinergic synapse;Chronic myeloid leukemia;Colorectal cancer;Cushing syndrome;Endometrial cancer;ErbB signaling pathway;Estrogen signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;FoxO signaling pathway;Gap junction;Gastric cancer;Glioma;GnRH secretion;GnRH signaling pathway;Growth hormone synthesis, secretion and action;HIF-1 signaling pathway;Hepatitis B;Hepatitis C;Hepatocellular carcinoma;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;Influenza A;Insulin signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Long-term depression;Long-term potentiation;MAPK signaling pathway;Melanogenesis;Melanoma;MicroRNAs in cancer;Natural killer cell mediated cytotoxicity;Neurotrophin signaling pathway;Neutrophil extracellular trap formation;Non-small cell lung cancer;Oocyte meiosis;Osteoclast differentiation;Oxytocin signaling pathway;PD-L1 expression and PD-1 checkpoint pathway in cancer;PI3K-Akt signaling pathway;Pancreatic cancer;Parathyroid hormone synthesis, secretion and action;Pathways in cancer;Pathways of neurodegeneration;Phospholipase D signaling pathway;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Prostate cancer;Proteoglycans in cancer;Rap1 signaling pathway;Ras signaling pathway;Regulation of actin cytoskeleton;Relaxin signaling pathway;Renal cell carcinoma;Salmonella infection;Serotonergic synapse;Signaling pathways regulating pluripotency of stem cells;Sphingolipid signaling pathway;T cell receptor signaling pathway;TNF signaling pathway;Thyroid cancer;Thyroid hormone signaling pathway;Toll-like receptor signaling pathway;VEGF signaling pathway;Vascular smooth muscle contraction;Yersinia infection;cAMP signaling pathway;cGMP-PKG signaling pathway;mTOR signaling pathway",Axon Guidance R-HSA-422475;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Frs2-mediated Activation R-HSA-170968;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Interleukin-1 Family Signaling R-HSA-446652;Interleukin-1 Signaling R-HSA-9020702;Interleukin-17 Signaling R-HSA-448424;L1CAM Interactions R-HSA-373760;MAP Kinase Activation R-HSA-450294;MAP2K And MAPK Activation R-HSA-5674135;MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264;MAPK Family Signaling Cascades R-HSA-5683057;MAPK1/MAPK3 Signaling R-HSA-5684996;MAPK3 (ERK1) Activation R-HSA-110056;MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871;MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155;MyD88-independent TLR4 Cascade R-HSA-166166;MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058;Negative Feedback Regulation Of MAPK Pathway R-HSA-5674499;Negative Regulation Of MAPK Pathway R-HSA-5675221;Nervous System Development R-HSA-9675108;Oncogenic MAPK Signaling R-HSA-6802957;Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955;Prolonged ERK Activation Events R-HSA-169893;RAF Activation R-HSA-5673000;RAF-independent MAPK1/3 Activation R-HSA-112409;RAF/MAP Kinase Cascade R-HSA-5673001;Signal Transduction R-HSA-162582;Signal Transduction By L1 R-HSA-445144;Signaling By BRAF And RAF1 Fusions R-HSA-6802952;Signaling By Interleukins R-HSA-449147;Signaling By NTRK1 (TRKA) R-HSA-187037;Signaling By NTRKs R-HSA-166520;Signaling By RAF1 Mutants R-HSA-9656223;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948;Signaling To ERKs R-HSA-187687;TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138;Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164;Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016;Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181;Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138;Toll-like Receptor Cascades R-HSA-168898;Uptake And Actions Of Bacterial Toxins R-HSA-5339562;Uptake And Function Of Anthrax Toxins R-HSA-5210891
