subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
05_immune_NK_ILC,COLEC12,pigmented epithelial cell;pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;dermis microvascular lymphatic vessel endothelial cell;endosteal cell;immature innate lymphoid cell;connective tissue cell;fibroblast;fibroblast of lung,,no,1.107,1.485
05_immune_NK_ILC,CR1,kidney glomerular epithelial cell;podocyte;follicular dendritic cell;blood cell;granulocyte;neutrophil;follicular B cell;immature innate lymphoid cell,,no,0.296,0.395
05_immune_NK_ILC,CRTAM,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;intraepithelial lymphocyte;CD16-negative, CD56-bright natural killer cell, human",CADM,no,0.065,0.071
05_immune_NK_ILC,CSF2,"endothelial cell of umbilical vein;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;group 3 innate lymphoid cell",IL4,no,0.024,
05_immune_NK_ILC,CSK,"CD141-positive myeloid dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;B-1a B cell;B-1b B cell;germinal center B cell;non-classical monocyte;CD14-low, CD16-positive monocyte;DN4 thymocyte;B cell;group 2 innate lymphoid cell",,no,5.215,6.292
05_immune_NK_ILC,DAZAP2,"T-helper 2 cell;group 2 innate lymphoid cell, human",,no,11.839,8.52
05_immune_NK_ILC,DDX3X,immature natural killer cell,,no,22.671,16.399
05_immune_NK_ILC,DISC1,macrophage;tissue-resident macrophage;central nervous system macrophage;mature microglial cell;immature innate lymphoid cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,no,0.513,0.854
05_immune_NK_ILC,DLEU2,Kupffer cell;immature innate lymphoid cell;brown preadipocyte,,no,3.734,3.921
05_immune_NK_ILC,DLL1,small intestine goblet cell;group 3 innate lymphoid cell,NOTCH,no,2.779,1.695
05_immune_NK_ILC,DMXL2,Kupffer cell;immature innate lymphoid cell,,no,4.26,5.239
05_immune_NK_ILC,DPYD,hepatoblast;cholangiocyte;hepatocyte;periportal region hepatocyte;centrilobular region hepatocyte;Kupffer cell;immature innate lymphoid cell;oligodendrocyte;preadipocyte;brown preadipocyte;mesothelial fibroblast,,no,4.382,5.826
05_immune_NK_ILC,DUSP6,classical monocyte;monocyte;group 2 innate lymphoid cell,,no,2.861,2.805
05_immune_NK_ILC,ETS1,"prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",,no,1.926,1.752
05_immune_NK_ILC,FGF23,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta T cell;mature NK T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;B cell;innate lymphoid cell;natural killer cell;myeloid cell",FGF,no,0.02,
05_immune_NK_ILC,FGFBP2,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;memory T cell;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",,no,0.091,0.085
05_immune_NK_ILC,FLI1,cardiac endothelial cell;late pro-B cell;immature innate lymphoid cell,,no,1.253,1.669
05_immune_NK_ILC,FMN1,Kupffer cell;melanocyte;melanocyte of skin;immature innate lymphoid cell;bipolar neuron;retinal bipolar neuron;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell,,no,3.485,3.609
05_immune_NK_ILC,FUT7,"CD4-positive helper T cell;CD16-negative, CD56-bright natural killer cell, human",,no,0.046,0.036
05_immune_NK_ILC,FXYD7,"type B pancreatic cell;ovarian surface epithelial cell;central memory CD8-positive, alpha-beta T cell;group 3 innate lymphoid cell;peripheral nervous system neuron",,no,0.048,0.022
05_immune_NK_ILC,FYN,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;immature natural killer cell;DN1 thymic pro-T cell;brown preadipocyte;fibro/adipogenic progenitor cell,,no,2.617,3.046
05_immune_NK_ILC,GAB2,tissue-resident macrophage;Kupffer cell;central nervous system macrophage;immature innate lymphoid cell;brown fat cell,,no,1.279,1.862
05_immune_NK_ILC,GAP43,neuroendocrine cell;chromaffin cell;group 2 innate lymphoid cell;enteric neuron;ganglion interneuron;cortical interneuron;cerebral cortex GABAergic interneuron;Cajal-Retzius cell;visceromotor neuron;glutamatergic neuron;peripheral nervous system neuron,,no,0.207,0.052
05_immune_NK_ILC,GBP5,"memory regulatory T cell;CD4-positive, alpha-beta cytotoxic T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;regulatory T cell;exhausted T cell;ILC1, human;group 3 innate lymphoid cell",,no,0.171,0.427
05_immune_NK_ILC,HNRNPH1,microfold cell of epithelium of small intestine;immature natural killer cell,,no,45.215,54.76
05_immune_NK_ILC,HOPX,"keratinocyte;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;type B pancreatic cell;epidermal cell;conjunctival epithelial cell;trophoblast giant cell;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mucosal invariant T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 2 innate lymphoid cell, human;forebrain radial glial cell;lung secretory cell",,no,0.522,0.195
05_immune_NK_ILC,HS3ST2,immature innate lymphoid cell;alveolar type 2 fibroblast cell,,no,0.068,0.021
05_immune_NK_ILC,HSPA8,"mature conventional dendritic cell;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;activated CD4-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,no,70.479,61.871
05_immune_NK_ILC,ICAM3,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;hematopoietic cell;CD141-positive myeloid dendritic cell;B-1a B cell;T-helper 2 cell;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;pro-T cell;early T lineage precursor",,no,0.934,1.13
05_immune_NK_ILC,ICOS,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mature T cell;memory T cell;regulatory T cell;intraepithelial lymphocyte;double negative thymocyte;DN3 thymocyte;group 3 innate lymphoid cell",ICOS,no,0.041,0.036
05_immune_NK_ILC,IFI44L,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;decidual natural killer cell, human",,no,0.499,0.392
05_immune_NK_ILC,IFITM1,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;T-helper 2 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;memory T cell;naive T cell;exhausted T cell;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 2 innate lymphoid cell;group 2 innate lymphoid cell, human",,no,1.988,3.436
05_immune_NK_ILC,IFNG,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",IFN-II,no,0.062,0.022
05_immune_NK_ILC,IKZF1,"hematopoietic cell;immature neutrophil;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;type I NK T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;common dendritic progenitor;DN1 thymic pro-T cell;common lymphoid progenitor",,no,1.121,1.479
05_immune_NK_ILC,IL16,B-1a B cell;double negative T regulatory cell;group 2 innate lymphoid cell,IL16,no,1.078,2.041
05_immune_NK_ILC,IL17A,CD4-positive helper T cell;group 3 innate lymphoid cell,IL17,no,0.065,0.012
05_immune_NK_ILC,IL17F,"CD4-positive helper T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;regulatory T cell",IL17,no,0.022,
05_immune_NK_ILC,IL18R1,granulocyte;neutrophil;mast cell;group 3 innate lymphoid cell,IL1,no,0.512,0.345
05_immune_NK_ILC,IL18RAP,"mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human",IL1,no,0.074,0.051
05_immune_NK_ILC,IL1RL1,vasa recta ascending limb cell;glomerular capillary endothelial cell;capillary endothelial cell;fenestrated cell;glomerular endothelial cell;basophil;eosinophil;mast cell;mucosal type mast cell;group 2 innate lymphoid cell;fibroblast of breast,IL1,no,1.634,0.204
05_immune_NK_ILC,IL22,CD4-positive helper T cell;T-helper 1 cell;type I NK T cell,IL10,no,0.072,0.01
05_immune_NK_ILC,IL23R,mucosal invariant T cell;group 3 innate lymphoid cell,IL12,no,0.066,0.027
05_immune_NK_ILC,IL9R,"CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;group 2 innate lymphoid cell",IL2,no,0.051,0.047
05_immune_NK_ILC,INPP5D,macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;immature innate lymphoid cell,,no,0.804,1.861
05_immune_NK_ILC,ITGA4,"hematopoietic cell;eosinophil;immature natural killer cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;basophil mast progenitor cell;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;common lymphoid progenitor",SPP1;MK;FN1;L1CAM;MADCAM;VCAM,no,1.285,2.169
05_immune_NK_ILC,ITGAD,"type I NK T cell;decidual natural killer cell, human",VCAM,no,0.052,0.04
05_immune_NK_ILC,ITGAL,"non-classical monocyte;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human",ICAM;JAM,no,0.621,2.107
05_immune_NK_ILC,ITGB2,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;CD8-positive, alpha-beta cytotoxic T cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;myeloid cell",CD40;COMPLEMENT;CD23;GP1BA;ICAM;JAM;THY1;VCAM,no,4.874,6.89
05_immune_NK_ILC,ITGB7,"plasmablast;IgA plasmablast;lymphocyte;CD8-positive, alpha-beta cytotoxic T cell;exhausted T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;CD16-positive, CD56-dim natural killer cell, human;group 2 innate lymphoid cell",FN1;CDH1;L1CAM;MADCAM;VCAM,no,0.169,0.284
05_immune_NK_ILC,ITK,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;type I NK T cell;mature T cell;memory T cell;regulatory T cell;naive T cell;DN3 thymocyte;group 2 innate lymphoid cell;DN1 thymic pro-T cell",,no,0.08,0.154
05_immune_NK_ILC,KCNE1,immature innate lymphoid cell,,no,0.033,0.015
05_immune_NK_ILC,KIR2DL1,"gamma-delta T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human",MHC-I,no,0.027,0.014
05_immune_NK_ILC,KIR2DL4,"gamma-delta T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,no,0.02,0.009
