gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ETS1,,,,no,1.926,1.752,22061,20472,-0.137,ENSG00000134954,Protein C-ets-1 (p54),Nucleus,"prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;surface ectodermal cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;regulatory T cell;naive T cell;DN3 thymocyte;DN4 thymocyte;immature natural killer cell;DN1 thymic pro-T cell",
FBP1,,,,no,4.312,4.142,49386,48395,-0.058,ENSG00000165140,"Fructose-1,6-bisphosphatase 1 (FBPase 1)",,enterocyte of epithelium of small intestine;type I pneumocyte;urothelial cell;bladder urothelial cell;microfold cell of epithelium of small intestine;epithelial cell of small intestine;alveolar macrophage;lung macrophage;bladder cell,
FOXO3,,,,no,14.004,9.691,160388,113235,-0.531,ENSG00000118689,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),Cytoplasm,tongue muscle cell;skeletal muscle fibroblast;erythroid lineage cell,
GAA,,,,no,14.603,13.344,167253,155919,-0.13,ENSG00000171298,Lysosomal alpha-glucosidase,Lysosome,epithelial cell of thymus;cortical thymic epithelial cell;alveolar macrophage;lung macrophage,
GALK1,,,,no,4.426,4.98,50695,58191,0.17,ENSG00000108479,Galactokinase,,,
GBE1,,,,no,5.408,4.875,61942,56968,-0.15,ENSG00000114480,"1,4-alpha-glucan-branching enzyme",,skeletal muscle fiber;cell of skeletal muscle;preadipocyte;brown preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
GCNT2,,,,no,1.452,1.296,16634,15138,-0.165,ENSG00000111846,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase)",Golgi apparatus membrane,type I pneumocyte;melanocyte;melanocyte of skin,
GYS1,,,,no,3.983,5.17,45613,60409,0.376,ENSG00000104812,"Glycogen [starch] synthase, muscle",,,
HEXA,,,,no,8.239,8.886,94363,103835,0.109,ENSG00000213614,Beta-hexosaminidase subunit alpha,Lysosome,pancreatic epsilon cell,
HIF1A,,,,no,25.784,19.186,295302,224186,-0.426,ENSG00000100644,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),Cytoplasm,elicited macrophage;inflammatory macrophage;blood cell;myeloid cell;brown preadipocyte;mesothelial fibroblast,
