gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
UEVLD,,,,no,4.002,3.758,45833,43910,-0.091,ENSG00000151116,Ubiquitin-conjugating enzyme E2 variant 3 (UEV-3) (EV and lactate/malate dehydrogenase domain-containing protein),,,,,,
UFC1,,,,no,10.502,8.49,120283,99200,-0.307,ENSG00000143222,Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1),,,,,,
UNC45A,,,,no,6.46,7.156,73989,83613,0.148,ENSG00000140553,Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1),Cytoplasm,,,,,
UPK1A,,,,no,0.032,,363,0,,ENSG00000105668,Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa),Membrane,taste receptor cell;urothelial cell;bladder urothelial cell;bladder cell,,,,
UPK2,,,,no,0.015,,167,0,,ENSG00000110375,Uroplakin-2 (UP2) (Uroplakin II) (UPII),Cell membrane,taste receptor cell,,,,
UQCC1,,,,no,5.544,5.363,63490,62667,-0.048,ENSG00000101019,Ubiquinol-cytochrome-c reductase complex assembly factor 1 (Basic FGF-repressed Zic-binding protein) (bFGF-repressed Zic-binding protein) (bFZb) (Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog),Mitochondrion inner membrane,,,,,
UQCC3,,,,no,3.285,3.361,37626,39277,0.033,ENSG00000204922,Ubiquinol-cytochrome-c reductase complex assembly factor 3 (Assembly factor CBP4 homolog),Mitochondrion inner membrane,,,,,
URB1,,,,no,3.031,4.098,34714,47883,0.435,ENSG00000142207,Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog),Nucleus,,,,,
URGCP,,,,no,5.854,7.757,67049,90636,0.406,ENSG00000106608,Up-regulator of cell proliferation (HBV X protein up-regulated gene 4 protein) (HBxAg up-regulated gene 4 protein),Cytoplasm,,,,,
USP10,,,,no,8.368,9.543,95835,111510,0.19,ENSG00000103194,Ubiquitin carboxyl-terminal hydrolase 10,Cytoplasm,,,,,
USP27X,,,,no,0.663,0.578,7591,6753,-0.198,ENSG00000273820,Ubiquitin carboxyl-terminal hydrolase 27,Cytoplasm,,,,,
USP29,,,,no,0.028,,320,0,,ENSG00000131864,Ubiquitin carboxyl-terminal hydrolase 29,Cytoplasm,,,,,
USP36,,,,no,8.262,9.43,94627,110190,0.191,ENSG00000055483,Ubiquitin carboxyl-terminal hydrolase 36,Nucleus,,,,,
USP38,,,,no,5.591,5.876,64032,68665,0.072,ENSG00000170185,Ubiquitin carboxyl-terminal hydrolase 38,Cytoplasm,,,,,
USP6,,,,no,0.032,0.023,370,264,-0.516,ENSG00000129204,Ubiquitin carboxyl-terminal hydrolase 6,Cell membrane;Cytoplasm;Endosome,,,,,
UTP23,,,,no,5.556,3.951,63633,46167,-0.492,ENSG00000147679,rRNA-processing protein UTP23 homolog,Nucleus,,,,,
VAX1,,,,no,0.032,,363,0,,ENSG00000148704,Ventral anterior homeobox 1,Nucleus,,,,,
VPS13A,,,,no,3.453,2.528,39550,29540,-0.45,ENSG00000197969,Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A),Mitochondrion outer membrane,enteroendocrine cell of small intestine,,,,
VPS13B,,,,no,4.072,4.353,46639,50861,0.096,ENSG00000132549,Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1) (Vacuolar protein sorting-associated protein 13B),Recycling endosome membrane,enucleate erythrocyte;preadipocyte,,,,
VSNL1,,,,no,0.108,0.085,1237,997,-0.34,ENSG00000163032,Visinin-like protein 1 (VILIP) (VLP-1) (Hippocalcin-like protein 3) (HLP3),,brush cell of trachebronchial tree;cerebellar granule cell;retinal ganglion cell,,,,
VSTM2B,,,,no,0.02,,234,0,,ENSG00000187135,V-set and transmembrane domain-containing protein 2B,Membrane,,,,,
VWA8,,,,no,4.397,5.187,50357,60609,0.238,ENSG00000102763,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),Mitochondrion,,,,,
WARS,,,,no,5.481,5.535,62773,64678,0.014,ENSG00000140105,"Tryptophan--tRNA ligase, cytoplasmic",,,,,,
WBP2,,,,no,23.483,26.499,268951,309631,0.174,ENSG00000132471,WW domain-binding protein 2 (WBP-2),Cytoplasm,enucleated reticulocyte,,,,
WDFY3,,,,no,4.542,4.558,52020,53256,0.005,ENSG00000163625,WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy),Nucleus membrane,,,,,
WDHD1,,,,no,0.823,0.725,9426,8475,-0.182,ENSG00000198554,WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1),Nucleus,,,,,
WDR26,,,,no,17.819,17.872,204076,208827,0.004,ENSG00000162923,WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2),Cytoplasm,enucleate erythrocyte,,,,
WDR55,,,,no,6.607,4.866,75668,56857,-0.441,ENSG00000120314,WD repeat-containing protein 55,Nucleus,,,,,
XIRP1,,,,no,0.03,,339,0,,ENSG00000168334,Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1),Cell junction,,,,,
XPNPEP3,,,,no,4.343,4.594,49742,53682,0.081,ENSG00000196236,Xaa-Pro aminopeptidase 3 (X-Pro aminopeptidase 3),Cytoplasm,,,,,
XPR1,,,,no,11.424,11.198,130836,130845,-0.029,ENSG00000143324,Solute carrier family 53 member 1 (Phosphate exporter SLC53A1) (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor) (Xenotropic and polytropic retrovirus receptor 1),Cell membrane,muscle precursor cell;cardiac muscle myoblast;Purkinje cell,,,,
YIPF1,,,,no,3.254,3.062,37265,35775,-0.088,ENSG00000058799,Protein YIPF1 (YIP1 family member 1),Golgi apparatus,,,,,
YIPF5,,,,no,12.05,10.048,138011,117412,-0.262,ENSG00000145817,Protein YIPF5 (Five-pass transmembrane protein localizing in the Golgi apparatus and the endoplasmic reticulum 5) (Smooth muscle cell-associated protein 5) (SMAP-5) (YIP1 family member 5) (YPT-interacting protein 1 A),Endoplasmic reticulum membrane,,,,,
YJEFN3,,,,no,1.367,1.679,15651,19620,0.297,ENSG00000250067,YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3) (ApoA-I-binding protein 2),,,,,,
YLPM1,,,,no,11.589,13.061,132731,152619,0.173,ENSG00000119596,YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113),Nucleus,,,,,
YTHDC2,,,,no,5.269,5.509,60343,64375,0.064,ENSG00000047188,3'-5' RNA helicase YTHDC2,Cytoplasm,,,,,
YTHDF1,,,,no,8.557,9.716,98005,113528,0.183,ENSG00000149658,YTH domain-containing family protein 1 (DF1) (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1),Cytoplasm,,,,,
YTHDF3,,,,no,10.621,10.39,121638,121399,-0.032,ENSG00000185728,YTH domain-containing family protein 3 (DF3),Cytoplasm,,,,,
YY1AP1,,,,no,8.293,8.257,94985,96479,-0.006,ENSG00000163374,YY1-associated protein 1 (Hepatocellular carcinoma susceptibility protein) (Hepatocellular carcinoma-associated protein 2),Cytoplasm,,,,,
ZAN,,,,no,0.031,0.013,355,151,-1.262,ENSG00000146839,Zonadhesin,Cell membrane,,,,,
ZBED9,,,,no,0.533,0.43,6103,5030,-0.308,ENSG00000232040,SCAN domain-containing protein 3,Nucleus,,,,,
ZBTB1,,,,no,5.594,5.593,64066,65353,-0.0,ENSG00000126804,Zinc finger and BTB domain-containing protein 1,Nucleus,,,,,
ZBTB21,,,,no,3.558,2.145,40753,25058,-0.731,ENSG00000173276,Zinc finger and BTB domain-containing protein 21 (Zinc finger protein 295),Nucleus,,,,,
ZBTB25,,,,no,2.15,2.764,24623,32301,0.363,ENSG00000089775,Zinc finger and BTB domain-containing protein 25 (Zinc finger protein 46) (Zinc finger protein KUP),Nucleus,,,,,
ZBTB3,,,,no,1.676,2.275,19190,26583,0.441,ENSG00000185670,Zinc finger and BTB domain-containing protein 3,Nucleus,,,,,
ZBTB33,,,,no,1.491,1.219,17076,14241,-0.291,ENSG00000177485,Transcriptional regulator Kaiso (Zinc finger and BTB domain-containing protein 33),Nucleus,,,,,
ZBTB4,,,,no,8.237,9.896,94338,115631,0.265,ENSG00000174282,Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1),Nucleus,,,,,
ZBTB40,,,,no,3.702,4.231,42399,49437,0.193,ENSG00000184677,Zinc finger and BTB domain-containing protein 40,Nucleus,,,,,
ZBTB48,,,,no,1.562,2.138,17894,24985,0.453,ENSG00000204859,Telomere zinc finger-associated protein (TZAP) (Krueppel-related zinc finger protein 3) (hKR3) (Zinc finger and BTB domain-containing protein 48) (Zinc finger protein 855),Nucleus,,,,,
ZBTB49,,,,no,0.849,1.166,9718,13622,0.458,ENSG00000168826,Zinc finger and BTB domain-containing protein 49 (Zinc finger protein 509),Cytoplasm,,,,,
ZC2HC1A,,,,no,1.905,2.273,21818,26556,0.255,ENSG00000104427,Zinc finger C2HC domain-containing protein 1A,,,,,,
ZC3H18,,,,no,6.472,7.609,74128,88906,0.233,ENSG00000158545,Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1),Nucleus,,,,,
ZC3H7A,,,,no,5.87,5.631,67231,65795,-0.06,ENSG00000122299,Zinc finger CCCH domain-containing protein 7A,Nucleus,,,,,
ZC3HAV1L,,,,no,2.503,2.045,28667,23892,-0.292,ENSG00000146858,Zinc finger CCCH-type antiviral protein 1-like,,,,,,
ZC4H2,,,,no,1.257,1.059,14393,12378,-0.246,ENSG00000126970,Zinc finger C4H2 domain-containing protein (Hepatocellular carcinoma-associated antigen 127),Cytoplasm,,,,,
ZCCHC10,,,,no,3.838,3.611,43954,42197,-0.088,ENSG00000155329,Zinc finger CCHC domain-containing protein 10,,,,,,
ZCCHC17,,,,no,5.556,6.249,63635,73022,0.17,ENSG00000121766,Zinc finger CCHC domain-containing protein 17 (Nucleolar protein of 40 kDa) (pNO40) (Pnn-interacting nucleolar protein) (Putative S1 RNA-binding domain protein) (PS1D protein),Nucleus,,,,,
ZCCHC3,,,,no,2.494,1.604,28564,18740,-0.637,ENSG00000247315,Zinc finger CCHC domain-containing protein 3,Cytoplasm,,,,,
ZCCHC8,,,,no,3.596,4.315,41187,50415,0.263,ENSG00000033030,Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8),Nucleus,,,,,
ZDHHC17,,,,no,2.74,2.8,31383,32715,0.031,ENSG00000186908,Palmitoyltransferase ZDHHC17,Golgi apparatus membrane,,,,,
ZDHHC22,,,,no,0.039,0.019,451,226,-1.026,ENSG00000177108,Palmitoyltransferase ZDHHC22,Endoplasmic reticulum membrane,,,,,
ZER1,,,,no,2.317,3.185,26535,37217,0.459,ENSG00000160445,Protein zer-1 homolog (Hzyg) (Zyg-11 homolog B-like protein) (Zyg11b-like protein),,,,,,
ZFPL1,,,,no,6.138,7.283,70300,85105,0.247,ENSG00000162300,Zinc finger protein-like 1 (Zinc finger protein MCG4),Golgi apparatus,,,,,
ZFX,,,,no,6.589,4.826,75464,56387,-0.449,ENSG00000005889,Zinc finger X-chromosomal protein,Nucleus,,,,,
ZFYVE21,,,,no,3.93,3.345,45012,39086,-0.233,ENSG00000100711,Zinc finger FYVE domain-containing protein 21 (ZF21),Cell junction,,,,,
ZFYVE26,,,,no,2.327,3.849,26647,44970,0.726,ENSG00000072121,Zinc finger FYVE domain-containing protein 26 (FYVE domain-containing centrosomal protein) (FYVE-CENT) (Spastizin),Cytoplasm,,,,,
ZGRF1,,,,no,0.487,0.438,5575,5122,-0.151,ENSG00000138658,Protein ZGRF1 (GRF-type zinc finger domain-containing protein 1),Membrane,,,,,
ZIC4,,,,no,0.033,,376,0,,ENSG00000174963,Zinc finger protein ZIC 4 (Zinc finger protein of the cerebellum 4),Nucleus,,,,,
ZMIZ2,,,,no,11.74,14.051,134459,164187,0.259,ENSG00000122515,Zinc finger MIZ domain-containing protein 2 (PIAS-like protein Zimp7),Nucleus,,,,,
ZMYM1,,,,no,2.268,2.499,25974,29196,0.14,ENSG00000197056,Zinc finger MYM-type protein 1,Nucleus,,,,,
ZMYM3,,,,no,2.389,3.318,27362,38770,0.474,ENSG00000147130,Zinc finger MYM-type protein 3 (Zinc finger protein 261),Nucleus,Sertoli cell,,,,
ZMYND19,,,,no,1.79,1.844,20503,21546,0.043,ENSG00000165724,Zinc finger MYND domain-containing protein 19 (Melanin-concentrating hormone receptor 1-interacting zinc finger protein) (MCH-R1-interacting zinc finger protein),Cytoplasm,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,,,
ZNF106,,,,no,10.645,11.547,121922,134926,0.117,ENSG00000103994,Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474),Nucleus,melanocyte,,,,
ZNF142,,,,no,2.709,3.241,31029,37865,0.258,ENSG00000115568,Zinc finger protein 142,Nucleus,,,,,
ZNF165,,,,no,1.825,1.588,20907,18555,-0.201,ENSG00000197279,Zinc finger protein 165 (Cancer/testis antigen 53) (CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7),Nucleus,,,,,
ZNF232,,,,no,1.979,2.144,22661,25053,0.116,ENSG00000167840,Zinc finger protein 232 (Zinc finger and SCAN domain-containing protein 11),Nucleus,,,,,
ZNF280C,,,,no,1.144,0.974,13105,11380,-0.233,ENSG00000056277,Zinc finger protein 280C (Suppressor of hairy wing homolog 3) (Zinc finger protein 633),Nucleus,,,,,
ZNF281,,,,no,2.126,2.198,24344,25686,0.049,ENSG00000162702,Zinc finger protein 281 (GC-box-binding zinc finger protein 1) (Transcription factor ZBP-99) (Zinc finger DNA-binding protein 99),Nucleus,,,,,
ZNF326,,,,no,9.018,8.208,103280,95909,-0.136,ENSG00000162664,DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1),Nucleus matrix,,,,,
ZNF341,,,,no,0.802,1.066,9182,12451,0.41,ENSG00000131061,Zinc finger protein 341,Nucleus,,,,,
ZNF346,,,,no,1.848,2.111,21165,24671,0.192,ENSG00000113761,Zinc finger protein 346 (Just another zinc finger protein),Nucleus,,,,,
ZNF395,,,,no,10.44,7.794,119565,91066,-0.422,ENSG00000186918,Zinc finger protein 395 (HD-regulating factor 2) (HDRF-2) (Huntington disease gene regulatory region-binding protein 2) (HD gene regulatory region-binding protein 2) (HDBP-2) (Papillomavirus regulatory factor 1) (PRF-1) (Papillomavirus-binding factor),Cytoplasm;Nucleus,,,,,
ZNF408,,,,no,0.829,1.064,9489,12433,0.361,ENSG00000175213,Zinc finger protein 408 (PR domain zinc finger protein 17),Nucleus,,,,,
ZNF410,,,,no,6.406,6.957,73367,81295,0.119,ENSG00000119725,Zinc finger protein 410 (Another partner for ARF 1),Nucleus,,,,,
ZNF449,,,,no,1.3,1.893,14884,22124,0.543,ENSG00000173275,Zinc finger protein 449 (Zinc finger and SCAN domain-containing protein 19),Nucleus,,,,,
ZNF451,,,,no,7.369,7.297,84402,85260,-0.014,ENSG00000112200,E3 SUMO-protein ligase ZNF451,Nucleus,enucleate erythrocyte,,,,
ZNF469,,,,no,0.295,0.452,3383,5284,0.614,ENSG00000225614,Zinc finger protein 469,Nucleus,,,,,
ZNF512,,,,no,6.412,7.423,73436,86741,0.211,ENSG00000243943,Zinc finger protein 512,Nucleus,,,,,
ZNF592,,,,no,8.003,9.286,91658,108502,0.214,ENSG00000166716,Zinc finger protein 592,Nucleus,,,,,
ZNF687,,,,no,4.085,5.34,46786,62392,0.386,ENSG00000143373,Zinc finger protein 687,Cytoplasm,,,,,
ZNF76,,,,no,5.459,6.031,62522,70468,0.144,ENSG00000065029,Zinc finger protein 76 (Zinc finger protein 523),Nucleus,,,,,
ZNF827,,,,no,1.936,2.164,22170,25286,0.161,ENSG00000151612,Zinc finger protein 827,Nucleus,luminal cell of prostate epithelium,,,,
ZPR1,,,,no,5.784,6.258,66245,73121,0.114,ENSG00000109917,Zinc finger protein ZPR1 (Zinc finger protein 259),Nucleus;Nucleus,,,,,
ZSCAN1,,,,no,0.022,0.009,250,104,-1.294,ENSG00000152467,Zinc finger and SCAN domain-containing protein 1,Nucleus,,,,,
ZSCAN12,,,,no,1.723,1.76,19734,20561,0.03,ENSG00000158691,Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96),Nucleus,,,,,
ZSCAN16,,,,no,1.1,1.285,12603,15013,0.224,ENSG00000196812,Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435),Nucleus,,,,,
ZSCAN20,,,,no,0.688,0.891,7881,10406,0.372,ENSG00000121903,Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31) (Zinc finger protein 360) (Zinc finger protein KOX29),Nucleus,,,,,
ZSCAN26,,,,no,1.81,2.511,20728,29337,0.472,ENSG00000197062,Zinc finger and SCAN domain-containing protein 26 (Protein SRE-ZBP) (Zinc finger protein 187),Nucleus,,,,,
ZSWIM6,,,,no,1.92,2.525,21991,29499,0.395,ENSG00000130449,Zinc finger SWIM domain-containing protein 6,,,,,,
ZUP1,,,,no,2.284,2.273,26153,26562,-0.007,ENSG00000153975,Zinc finger-containing ubiquitin peptidase 1,Cytoplasm,,,,,
ZYG11B,,,,no,3.347,3.214,38331,37550,-0.059,ENSG00000162378,Protein zyg-11 homolog B,Cytoplasm,,,,,
