gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
MEST,,,,no,2.337,2.651,26770,30971,0.181,ENSG00000106484,Mesoderm-specific transcript homolog protein,Endoplasmic reticulum membrane,interstitial cell of Cajal;mesothelial cell;mesothelial cell of pleura;pancreatic D cell;granulosa cell;endosteal cell;ovarian surface epithelial cell;mesodermal cell;placental villous trophoblast;hematopoietic multipotent progenitor cell;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;subcutaneous fat cell;chondrocyte;interstitial cell of ovary;mesenchymal cell,
MFAP5,,,,no,0.604,0.344,6918,4022,-0.811,ENSG00000197614,Microfibrillar-associated protein 5 (MFAP-5) (MP25) (Microfibril-associated glycoprotein 2) (MAGP-2),Secreted,mesenchymal stem cell;skeletal muscle fibroblast;extravillous trophoblast;syncytiotrophoblast cell;connective tissue cell;fibroblast;reticular cell;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;skin fibroblast;tendon cell;adventitial cell,
MMP14,,,,no,20.536,21.743,235196,254059,0.082,ENSG00000157227,Matrix metalloproteinase-14 (MMP-14),Membrane,endosteal cell;osteoclast;preosteoblast;extravillous trophoblast;decidual cell;connective tissue cell;fibroblast;keratocyte;pulmonary interstitial fibroblast;pancreatic stellate cell;fibroblast of lung;fibroblast of mammary gland,
MYLK,,,,no,2.07,2.896,23708,33834,0.484,ENSG00000065534,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK)",Cytoplasm,basal cell;muscle cell;smooth muscle cell;smooth muscle cell of sphincter of pupil;vascular associated smooth muscle cell;enteric smooth muscle cell;smooth muscle fiber of ileum;uterine smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;ciliary muscle cell;smooth muscle cell of prostate;pulmonary interstitial fibroblast;myofibroblast cell,
NOTCH2,,,,no,13.495,13.943,154560,162926,0.047,ENSG00000134250,Neurogenic locus notch homolog protein 2 (Notch 2) (hN2),Nucleus,,CNTN;NOTCH
NT5E,,,,no,0.882,0.966,10099,11285,0.131,ENSG00000135318,5'-nucleotidase (5'-NT),Cell membrane,endothelial cell of lymphatic vessel,
OXTR,,,,no,0.077,0.049,882,577,-0.641,ENSG00000180914,Oxytocin receptor (OT-R),Cell membrane,stem cell;basal cell;myoepithelial cell;myoepithelial cell of mammary gland,OXT
PDGFRB,,,,no,6.511,5.072,74566,59261,-0.36,ENSG00000113721,Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta),Cell membrane,cerebral cortex endothelial cell;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;bronchial smooth muscle cell;smooth muscle myoblast;connective tissue cell;fibroblast;keratocyte;hepatic stellate cell;preadipocyte;brown preadipocyte;pancreatic stellate cell;pericyte;renal interstitial pericyte;mural cell,PDGF
PDLIM4,,,,no,0.412,0.286,4724,3347,-0.526,ENSG00000131435,PDZ and LIM domain protein 4 (LIM protein RIL) (Reversion-induced LIM protein),Cytoplasm,epithelial cell of stratum germinativum of esophagus;myoepithelial cell;myoepithelial cell of mammary gland;mesothelial cell of pleura;pancreatic D cell;epithelial cell of urethra;follicular dendritic cell,
PLAUR,,,,no,3.688,4.487,42234,52425,0.283,ENSG00000011422,Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87),Cell membrane,epithelial cell of lacrimal sac;epithelial cell of uterus;epithelial cell of urethra;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;hematopoietic cell;blood cell;granulocyte;leukocyte;liver dendritic cell;myeloid leukocyte;myeloid cell,VTN;PLAU
