gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
FBP1,,,no,ENSG00000165140,"Fructose-1,6-bisphosphatase 1 (FBPase 1)",,enterocyte of epithelium of small intestine;type I pneumocyte;urothelial cell;bladder urothelial cell;microfold cell of epithelium of small intestine;epithelial cell of small intestine;alveolar macrophage;lung macrophage;bladder cell,,4.312,4.142,4.312,49386,48395,-0.058,curated,hypoxia_HIF,False
FOXO3,,,no,ENSG00000118689,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),Cytoplasm,tongue muscle cell;skeletal muscle fibroblast;erythroid lineage cell,,14.004,9.691,14.004,160388,113235,-0.531,curated,hypoxia_HIF,False
GAA,,,no,ENSG00000171298,Lysosomal alpha-glucosidase,Lysosome,epithelial cell of thymus;cortical thymic epithelial cell;alveolar macrophage;lung macrophage,,14.603,13.344,14.603,167253,155919,-0.13,curated,hypoxia_HIF,False
GALK1,,,no,ENSG00000108479,Galactokinase,,,,4.426,4.98,4.98,50695,58191,0.17,curated,hypoxia_HIF,True
GBE1,,,no,ENSG00000114480,"1,4-alpha-glucan-branching enzyme",,skeletal muscle fiber;cell of skeletal muscle;preadipocyte;brown preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,5.408,4.875,5.408,61942,56968,-0.15,curated,hypoxia_HIF,False
GCNT2,,,no,ENSG00000111846,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase)",Golgi apparatus membrane,type I pneumocyte;melanocyte;melanocyte of skin,,1.452,1.296,1.452,16634,15138,-0.165,curated,hypoxia_HIF,True
GYS1,,,no,ENSG00000104812,"Glycogen [starch] synthase, muscle",,,,3.983,5.17,5.17,45613,60409,0.376,curated,hypoxia_HIF,True
HEXA,,,no,ENSG00000213614,Beta-hexosaminidase subunit alpha,Lysosome,pancreatic epsilon cell,,8.239,8.886,8.886,94363,103835,0.109,curated,hypoxia_HIF,False
HIF1A,,,no,ENSG00000100644,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8),Cytoplasm,elicited macrophage;inflammatory macrophage;blood cell;myeloid cell;brown preadipocyte;mesothelial fibroblast,,25.784,19.186,25.784,295302,224186,-0.426,curated,hypoxia_HIF,False
HK1,,,no,ENSG00000156515,Hexokinase-1,Mitochondrion outer membrane,erythroid lineage cell;enucleated reticulocyte;retina horizontal cell,,5.106,6.115,6.115,58477,71456,0.26,curated,hypoxia_HIF,True
