gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
POLB,,,no,ENSG00000070501,DNA polymerase beta,Nucleus;Cytoplasm,,,3.79,3.208,3.79,43401,37490,-0.24,curated,DNA_repair_damage,True
POLD1,,,no,ENSG00000062822,DNA polymerase delta catalytic subunit,Nucleus,professional antigen presenting cell;dendritic cell;B cell,,1.573,1.902,1.902,18012,22224,0.274,curated,DNA_repair_damage,False
POLE,,,no,ENSG00000177084,DNA polymerase epsilon catalytic subunit A,Nucleus,,,1.596,2.125,2.125,18280,24835,0.413,curated,DNA_repair_damage,True
POLH,,,no,ENSG00000170734,DNA polymerase eta,Nucleus,,,2.466,2.886,2.886,28241,33720,0.227,curated,DNA_repair_damage,True
POLR2A,,,no,ENSG00000181222,DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1),Nucleus,intestinal crypt stem cell of large intestine,,10.905,14.58,14.58,124895,170358,0.419,curated,DNA_repair_damage,True
POLR2C,,,no,ENSG00000102978,DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31),Nucleus,,,10.423,10.381,10.423,119379,121303,-0.006,curated,DNA_repair_damage,True
POLR2E,,,no,ENSG00000099817,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)",Nucleus,macrophage dendritic cell progenitor;pre-conventional dendritic cell,,3.112,2.282,3.112,35639,26660,-0.448,curated,DNA_repair_damage,False
POLR2G,,,no,ENSG00000168002,DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19),Nucleus,,,5.999,6.73,6.73,68710,78643,0.166,curated,DNA_repair_damage,True
POLR2H,,,no,ENSG00000163882,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (DNA-directed RNA polymerase II subunit H) (DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide) (RPB17) (RPB8 homolog) (hRPB8)",Nucleus,fallopian tube secretory epithelial cell,,10.148,9.676,10.148,116227,113059,-0.069,curated,DNA_repair_damage,False
PRKDC,,,no,ENSG00000253729,DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs),Nucleus,fallopian tube secretory epithelial cell,,11.92,11.112,11.92,136519,129844,-0.101,curated,DNA_repair_damage,False
PSMA6,,,no,ENSG00000100902,Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain),Cytoplasm,"professional antigen presenting cell;dendritic cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;early lymphoid progenitor;common lymphoid progenitor",,13.452,13.306,13.452,154070,155481,-0.016,curated,DNA_repair_damage,False
PSMB5,,,no,ENSG00000100804,Proteasome subunit beta type-5,Cytoplasm,cortical thymic epithelial cell,,9.185,8.727,9.185,105190,101968,-0.074,curated,DNA_repair_damage,False
PSMC2,,,no,ENSG00000161057,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2),Cytoplasm,,,6.495,6.37,6.495,74392,74434,-0.028,curated,DNA_repair_damage,True
PSMC5,,,no,ENSG00000087191,26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG),Cytoplasm,,,30.406,29.321,30.406,348236,342609,-0.052,curated,DNA_repair_damage,True
PSMD10,,,no,ENSG00000101843,26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK)),Cytoplasm,,,4.371,3.157,4.371,50060,36892,-0.469,curated,DNA_repair_damage,True
