gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
SLC25A1,,,no,ENSG00000100075,"Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Mitochondrial citrate carrier) (CIC) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)",Mitochondrion inner membrane,,,16.741,15.364,16.741,191731,179524,-0.124,curated,glycolysis_glucose_metabolism,True
SLC25A10,,,no,ENSG00000183048,Mitochondrial dicarboxylate carrier (DIC) (Solute carrier family 25 member 10),Mitochondrion inner membrane,,,2.724,3.342,3.342,31203,39045,0.295,curated,glycolysis_glucose_metabolism,True
SLC25A11,,,no,ENSG00000108528,Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (alpha-oxoglutarate carrier) (Solute carrier family 25 member 11) (SLC25A11),Mitochondrion inner membrane,,,5.027,4.72,5.027,57577,55152,-0.091,curated,glycolysis_glucose_metabolism,True
SLC25A13,,,no,ENSG00000004864,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial (Calcium-binding mitochondrial carrier protein Aralar2) (ARALAR-related gene 2) (ARALAR2) (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)",Mitochondrion inner membrane,hepatocyte;centrilobular region hepatocyte,,3.619,3.754,3.754,41451,43865,0.053,curated,glycolysis_glucose_metabolism,True
SLC37A4,,,no,ENSG00000137700,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),Endoplasmic reticulum membrane,,,10.467,7.604,10.467,119882,88848,-0.461,curated,glycolysis_glucose_metabolism,True
SOD1,,,no,ENSG00000142168,Superoxide dismutase [Cu-Zn],Cytoplasm,,,19.873,17.571,19.873,227600,205312,-0.178,curated,glycolysis_glucose_metabolism,True
SOX9,,,no,ENSG00000125398,Transcription factor SOX-9,Nucleus,intestinal crypt stem cell of large intestine;intrahepatic cholangiocyte;Sertoli cell;duodenum glandular cell;brush cell;intestinal tuft cell;tuft cell of colon;forebrain radial glial cell;chondrocyte;serous cell of epithelium of trachea,,15.268,17.427,17.427,174867,203625,0.191,curated,glycolysis_glucose_metabolism,False
SRD5A3,,,no,ENSG00000128039,Polyprenol reductase,Endoplasmic reticulum membrane,club cell,,2.678,2.248,2.678,30670,26262,-0.253,curated,glycolysis_glucose_metabolism,True
STC2,,,no,ENSG00000113739,Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP),Secreted,epithelial cell;duct epithelial cell;luminal epithelial cell of mammary gland;myoepithelial cell;myoepithelial cell of mammary gland;mammary gland epithelial cell,,4.547,7.117,7.117,52072,83164,0.647,curated,glycolysis_glucose_metabolism,False
STMN1,,,no,ENSG00000117632,Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17),Cytoplasm,"glioblast;Schwann cell precursor;pancreatic D cell;mast cell;mucosal type mast cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;large pre-B-II cell;fraction A pre-pro B cell;immature Schwann cell;enteric neuron;cortical interneuron;cerebral cortex GABAergic interneuron;Cajal-Retzius cell;peripheral nervous system neuron",,4.178,3.941,4.178,47848,46053,-0.084,curated,glycolysis_glucose_metabolism,False
