gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
ERG,ENSG00000157554,8,1,Breast;General,Adipocytes;Endothelial cells
ESR1,ENSG00000091831,8,1,Breast;Breast,Glandular cells;Cancer markers
FAS,ENSG00000026103,8,1,General;Lung,Pro-apoptosis markers;Alveolar Type I
FBLN1,ENSG00000077942,4,1,General,Fibroblasts
FBN1,ENSG00000166147,8,1,General;General;General,Endothelial cells;Fibroblasts;Smooth muscle cells
FCER1A,ENSG00000179639,8,1,General;General;General;Skin,Granulocytes;Macrophages;Myeloid dendritic cells;Langerhans cells
FCGR1A,ENSG00000150337,8,1,General;Liver,Macrophages;Kupffer cells
FCGR3A,ENSG00000203747,8,1,Breast;General;General;General;Liver,Dendritic cells;Macrophages;Monocytes;T cells;Kupffer cells
FCN1,ENSG00000085265,8,1,General;Liver,Macrophages;Kupffer cells
FCN2,ENSG00000160339,5,1,Liver,Stellate cells
FGFBP1,ENSG00000137440,8,1,Colon;Colon;Pancreas;Pancreas;Skin;Skin,Distal enterocytes;Paneth cells;Ductal cells;Endocrine cells;Basal keratinocytes;Suprabasal keratinocytes
FGFBP2,ENSG00000137441,8,1,Breast;General;General,Dendritic cells;Fibroblasts;T cells
FGL2,ENSG00000127951,8,1,General;General;General;Kidney;Liver;Skin,Endothelial cells;Fibroblasts;Macrophages;Collecting duct cells;Kupffer cells;Langerhans cells
FHL2,ENSG00000115641,8,1,Breast;Breast;Colon;Colon;General;General;Heart;Pancreas;Pancreas;Skin;Skin,Glandular cells;Myoepithelial cells;Distal enterocytes;Paneth cells;Fibroblasts;Smooth muscle cells;Cardiomyocytes;Ductal cells;Endocrine cells;Basal keratinocytes;Suprabasal keratinocytes
FKBP11,ENSG00000134285,5,1,Colon;General;General;General;General;Pancreas;Pancreas;Skin,Goblet cells;B cells;Fibroblasts;Smooth muscle cells;T cells;Exocrine glandular cells;Endocrine cells;Melanocytes
FOXA1,ENSG00000129514,4,1,Breast;Colon,Glandular cells;Endocrine cells
FOXI1,ENSG00000168269,8,1,Kidney,Distal tubular cells
FOXJ1,ENSG00000129654,4,1,Lung,Ciliated cells
FOXP3,ENSG00000049768,7,1,General,T cells
FSTL3,ENSG00000070404,8,1,Pancreas,Exocrine glandular cells
FXYD2,ENSG00000137731,4,1,Kidney;Kidney;Liver;Pancreas,Distal tubular cells;Proximal tubular cells;Cholangiocytes;Ductal cells
GATA2,ENSG00000179348,8,1,Breast;General;General;Kidney,Adipocytes;Endothelial cells;Granulocytes;Collecting duct cells
GATM,ENSG00000171766,4,1,General;General;Kidney;Liver;Pancreas;Pancreas;Skin;Skin,Macrophages;Smooth muscle cells;Proximal tubular cells;Hepatocytes;Exocrine glandular cells;Endocrine cells;Langerhans cells;Suprabasal keratinocytes
GCG,ENSG00000115263,4,1,Colon;Pancreas;Pancreas,Endocrine cells;Alpha cells;Endocrine cells
GDF15,ENSG00000130513,1,1,Breast;Colon;Colon;Colon;Kidney;Lung;Lung;Pancreas;Pancreas,Glandular cells;Distal enterocytes;Goblet cells;Undifferentiated cells;Collecting duct cells;Alveolar Type II;Ciliated cells;Ductal cells;Endocrine cells
GEM,ENSG00000164949,8,1,General;General;General;General,Fibroblasts;Macrophages;Smooth muscle cells;T cells
GHRL,ENSG00000157017,4,1,Pancreas,Epsilon cells
GKN2,ENSG00000183607,4,1,Lung;Lung;Pancreas,Alveolar Type I;Alveolar Type II;Endocrine cells
GLIPR1,ENSG00000139278,8,1,Breast;General;General;General;General;Liver;Pancreas;Skin,Dendritic cells;B cells;Macrophages;Smooth muscle cells;T cells;Kupffer cells;Ductal cells;Langerhans cells
GLYATL1,ENSG00000166840,4,1,Kidney;Liver,Proximal tubular cells;Hepatocytes
GNG11,ENSG00000127920,8,1,Breast;General;Kidney;Liver,Adipocytes;Endothelial cells;Collecting duct cells;Stellate cells
GNLY,ENSG00000115523,5,1,Breast;General;General,Dendritic cells;Natural killer cells;T cells
