gene,Ensemble ID,Num_Probesets,Codewords,Annotation
KIT,ENSG00000157404,8,1,Proto-Oncogene
KLRB1,ENSG00000111796,6,1,T Cell;CD8+;Naive;Natural Killer Cell
KLRC1,ENSG00000134545,8,1,
KLRD1,ENSG00000134539,4,1,Natural Killer Cell
KLRF1,ENSG00000150045,8,1,
KLRK1,ENSG00000213809,8,1,Natural Killer Cell
KMT2C,ENSG00000055609,8,1,
KRAS,ENSG00000133703,8,1,Epithelial Cell;Oncogene
LAG3,ENSG00000089692,5,1,T Cell;Exhaustion;Immune Checkpoint
LAMP1,ENSG00000185896,6,1,
LAMP2,ENSG00000005893,5,1,Autophagy
LAMP3,ENSG00000078081,8,1,
LCK,ENSG00000182866,8,1,
LIF,ENSG00000128342,8,1,
LILRA4,ENSG00000239961,10,1,Dendritic Cell;Plasmacytoid
LILRA5,ENSG00000187116,5,1,Monocyte;Non-Classical
LILRB2,ENSG00000131042,8,1,Monocyte;Non-Classical
LILRB4,ENSG00000186818,3,1,Dendritic Cell;Plasmacytoid
LTB,ENSG00000227507,2,1,TNF Superfamily
LUM,ENSG00000139329,4,1,Fibroblast
LY6E,ENSG00000160932,3,1,
MARCO,ENSG00000019169,8,1,Macrophage
MCEMP1,ENSG00000183019,8,1,Macrophage
MET,ENSG00000105976,8,1,Epithelial Cell
MGP,ENSG00000111341,2,1,
MIS18BP1,ENSG00000129534,8,1,Monocyte;Non-Classical
MKI67,ENSG00000148773,8,1,B Cell;Proliferation
MMP12,ENSG00000262406,8,1,Dendritic Cell;Myeloid
MMP9,ENSG00000100985,3,1,Macrophage;Neutrophil;Polarization
MPEG1,ENSG00000197629,8,1,Dendritic Cell;Plasmacytoid
MS4A1,ENSG00000156738,8,1,B Cell;Lineage Marker;Proliferation
MS4A2,ENSG00000149534,8,1,Mast Cell
MUC5AC,ENSG00000215182,8,1,Pit Mucous Cell;Lineage Marker
MX1,ENSG00000157601,8,1,
MYD88,ENSG00000172936,8,1,
MZB1,ENSG00000170476,5,1,Plasma Cell;Plasmablast
NCAM1,ENSG00000149294,8,1,
NCEH1,ENSG00000144959,8,1,Megakarocyte
NELL2,ENSG00000184613,8,1,
NF1,ENSG00000196712,8,1,
NKG7,ENSG00000105374,2,1,Natural Killer Cell
NOD1,ENSG00000106100,8,1,
NOSIP,ENSG00000142546,4,1,
NOTCH1,ENSG00000148400,8,1,T Cell;Th2
NOTCH2,ENSG00000134250,8,1,T Cell;Th2
NOTCH3,ENSG00000074181,8,1,Pericyte;Lineage Marker;T Cell;Th1
NT5E,ENSG00000135318,8,1,T Cell;Inhibitory
ORC6,ENSG00000091651,8,1,Cell Division
P2RX1,ENSG00000108405,8,1,Mast Cell
PAX5,ENSG00000196092,8,1,
PDCD1,ENSG00000188389,2,1,T Cell;Exhausted
PDCD1LG2,ENSG00000197646,8,1,Immune Checkpoint
PDGFRA,ENSG00000134853,8,1,Stromal Cell
PGA5,ENSG00000256713,8,1,Chief Cell;Lineage Marker
PIK3CA,ENSG00000121879,8,1,
PLA2G7,ENSG00000146070,8,1,Dendritic Cell
PLD4,ENSG00000166428,4,1,Dendritic Cell;Lineage Marker
PLEK,ENSG00000115956,3,1,
PLVAP,ENSG00000130300,8,1,Endothelial Cell;Lineage Marker
PRDX4,ENSG00000123131,8,1,Plasma Cell
PRF1,ENSG00000180644,4,1,T cell;EMRA
PSMB10,ENSG00000205220,3,1,
PTEN,ENSG00000171862,8,1,
PTGS1,ENSG00000095303,8,1,Mast Cell
PTPRC,ENSG00000081237,3,1,
RB1,ENSG00000139687,8,1,
REG4,ENSG00000134193,6,1,Intestinal Cell;Lineage Marker
RGS1,ENSG00000090104,2,1,
RGS5,ENSG00000143248,8,1,Pericyte
RNF43,ENSG00000108375,8,1,Tumor
RORC,ENSG00000143365,8,1,
RUNX3,ENSG00000020633,8,1,Natural Killer Cell
S100A9,ENSG00000163220,4,1,Neutrophils
S100B,ENSG00000160307,8,1,Dendritic Cell;Myeloid
SAMD3,ENSG00000164483,8,1,Natural Killer Cell
SDC1,ENSG00000115884,8,1,Plasma Cell
SELL,ENSG00000188404,8,1,B Cell
SLC1A3,ENSG00000079215,6,1,Dendritic Cell
SMAD3,ENSG00000166949,8,1,Natural Killer Cell
SOCS1,ENSG00000185338,4,1,Cytokine Signalling
SOCS2,ENSG00000120833,8,1,Cytokine Signalling
SOCS3,ENSG00000184557,8,1,Cytokine Signalling
SOS1,ENSG00000115904,8,1,
SOX17,ENSG00000164736,8,1,
SOX9,ENSG00000125398,8,1,Tumor
SPARC,ENSG00000113140,3,1,
SPARCL1,ENSG00000152583,8,1,
SPIB,ENSG00000269404,8,1,Dendritic Cell;Plasmacytoid
SPON2,ENSG00000159674,5,1,
SSR4,ENSG00000180879,3,1,Plasma Cell
STAT1,ENSG00000115415,3,1,Immune Signalling;Macrophage;Th1;T Cell
STAT2,ENSG00000170581,8,1,Immune Signalling
STAT3,ENSG00000168610,8,1,Plasma Cell;T Cell;Regulatory;Th17
STAT4,ENSG00000138378,8,1,T Cell;Natural Killer Cell
STAT5B,ENSG00000173757,8,1,Immune Signalling;T Cell
STAT6,ENSG00000166888,8,1,Immune Signalling;T Cell
STMN1,ENSG00000117632,8,1,B Cell;Proliferation
SYK,ENSG00000165025,8,1,Dendritic Cell;Plasmacytoid
TBX21,ENSG00000073861,8,1,T Cell;Th1
TC2N,ENSG00000165929,8,1,
TCF7,ENSG00000081059,8,1,T Cell;CD4+;Naive
TCL1A,ENSG00000100721,6,1,B cell;Proliferative
TFF3,ENSG00000160180,7,1,Intestinal;Lineage Marker
TGFB1,ENSG00000105329,7,1,Macrophage;Neutrophil;Polarization
TIGIT,ENSG00000181847,8,1,T Cell;Exhausted
TMPRSS2,ENSG00000184012,8,1,T Cell
TNF,ENSG00000232810,8,1,Macrophage;Neutrophil
TNFRSF13C,ENSG00000159958,8,1,B Cell
TNFRSF17,ENSG00000048462,8,1,Plasma Cell
TNFRSF1B,ENSG00000028137,8,1,
TNFRSF9,ENSG00000049249,8,1,
TOX,ENSG00000198846,8,1,T Cell;Exhausted
TP53,ENSG00000141510,8,1,Proto-Oncogene
TRAT1,ENSG00000163519,8,1,
TREM2,ENSG00000095970,2,1,Dendritic Cell
TUBA1B,ENSG00000123416,2,1,
TUBB,ENSG00000196230,3,1,Cytoskelton
TXLNA,ENSG00000084652,8,1,
UBE2C,ENSG00000175063,4,1,Natural Killer Cell
VCAN,ENSG00000038427,8,1,Macrophage;M1
VEGFA,ENSG00000112715,8,1,Macrophage;Neutrophil;Oncogene
VSIG4,ENSG00000155659,5,1,Macrophage
VSIR,ENSG00000107738,6,1,Checkpoint
XBP1,ENSG00000100219,6,1,Plasmablast
ZNF683,ENSG00000176083,5,1,T Cell;Resident Memory
