gene,Ensembl ID,Num_Probesets,Codewords,Annotation
TRDV1,ENSG00000211804,2,1,gamma-delta T cell
TRGV4,ENSG00000211698,6,1,gamma-delta T cell
TRPM5,ENSG00000070985,8,1,tuft cell
TTR,ENSG00000118271,5,1,enteroendocrine cell of colon
TUBB,ENSG00000196230,8,1,transit amplifying cell of colon; secretory progenitor cell
TYMS,ENSG00000176890,8,1,transit amplifying cell of colon; dendritic cell
UBE2C,ENSG00000175063,4,1,transit amplifying cell of colon; dendritic cell; secretory progenitor cell
UCN3,ENSG00000178473,7,1,enteroendocrine cell of colon
UGT2A3,ENSG00000135220,8,1,absorptive cell
UGT2B17,ENSG00000197888,8,1,absorptive cell
VCAN,ENSG00000038427,8,1,monocyte
VWA5B2,ENSG00000145198,6,1,enteroendocrine cell of colon
WFDC2,ENSG00000101443,2,1,colon goblet cell; secretory progenitor cell
XCL2,ENSG00000143185,4,1,natural killer cell
