gene,HALLMARK,KEGG,REACTOME
AGO1,,,Beta-catenin Independent WNT Signaling R-HSA-3858494;Ca2+ Pathway R-HSA-4086398;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Gene Silencing By RNA R-HSA-211000;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Intracellular Signaling By Second Messengers R-HSA-9006925;MAPK Family Signaling Cascades R-HSA-5683057;MAPK6/MAPK4 Signaling R-HSA-5687128;MicroRNA (miRNA) Biogenesis R-HSA-203927;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569;Oncogene Induced Senescence R-HSA-2559585;Oxidative Stress Induced Senescence R-HSA-2559580;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Post-transcriptional Silencing By Small RNAs R-HSA-426496;Pre-NOTCH Expression And Processing R-HSA-1912422;Pre-NOTCH Transcription And Translation R-HSA-1912408;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;Regulation Of MECP2 Expression And Activity R-HSA-9022692;Regulation Of PTEN mRNA Translation R-HSA-8943723;Regulation Of RUNX1 Expression And Activity R-HSA-8934593;Signal Transduction R-HSA-162582;Signaling By NOTCH R-HSA-157118;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By WNT R-HSA-195721;Small Interfering RNA (siRNA) Biogenesis R-HSA-426486;TP53 Regulates Metabolic Genes R-HSA-5628897;Transcriptional Regulation By MECP2 R-HSA-8986944;Transcriptional Regulation By TP53 R-HSA-3700989;Transcriptional Regulation By VENTX R-HSA-8853884;Transcriptional Regulation By RUNX1 R-HSA-8878171;Transcriptional Regulation By Small RNAs R-HSA-5578749
AGRP,,Adipocytokine signaling pathway,"FOXO-mediated Transcription R-HSA-9614085;FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;RNA Polymerase II Transcription R-HSA-73857"
AGTR1,,AGE-RAGE signaling pathway in diabetic complications;Adrenergic signaling in cardiomyocytes;Aldosterone synthesis and secretion;Apelin signaling pathway;Calcium signaling pathway;Coronavirus disease;Cortisol synthesis and secretion;Cushing syndrome;Diabetic cardiomyopathy;Neuroactive ligand-receptor interaction;Pathways in cancer;Phospholipase D signaling pathway;Renin secretion;Renin-angiotensin system;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Clathrin-mediated Endocytosis R-HSA-8856828;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Membrane Trafficking R-HSA-199991;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Vesicle-mediated Transport R-HSA-5653656
AGTR2,,Adrenergic signaling in cardiomyocytes;Neuroactive ligand-receptor interaction;Renin-angiotensin system,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
AHRR,,,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144;Biological Oxidations R-HSA-211859;Cytochrome P450 - Arranged By Substrate Type R-HSA-211897;Endogenous Sterols R-HSA-211976;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Phase I - Functionalization Of Compounds R-HSA-211945;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Xenobiotics R-HSA-211981
AIFM1,Adipogenesis;Oxidative Phosphorylation,Apoptosis;Necroptosis,
AIMP2,Myc Targets V1;Myc Targets V2,,Cytosolic tRNA Aminoacylation R-HSA-379716;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Proteins R-HSA-392499;Selenoamino Acid Metabolism R-HSA-2408522;Translation R-HSA-72766;tRNA Aminoacylation R-HSA-379724
AJAP1,,,
AKAP11,,,
AKAP8,,,
