gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
CHRAC1,,,,,,
CHST8,,,,Estrogen Response Late,Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Metabolism Of Proteins R-HSA-392499;N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576;Post-translational Protein Modification R-HSA-597592;Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578;Transport To Golgi And Subsequent Modification R-HSA-948021
CINP,,,,,,
CIP2A,,,,,,
CISD2,,,,,,
CKAP2,,,,,,
CLEC16A,,,,,,
CLEC2A,,,,,,
CLGN,,,,Spermatogenesis,,
CLK2,,,,,,
CLK3,,,,,,
CLK4,,,,,Legionellosis,
CLPX,,,,,,
CLSTN1,,,,,,"Adaptive Immune System R-HSA-1280218;Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695;Axon Guidance R-HSA-422475;Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530;Cytokine Signaling In Immune System R-HSA-1280215;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276;Immune System R-HSA-168256;Interleukin Receptor SHC Signaling R-HSA-912526;Interleukin-2 Family Signaling R-HSA-451927;Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988;Intracellular Signaling By Second Messengers R-HSA-9006925;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Negative Regulation Of PI3K/AKT Network R-HSA-199418;Nervous System Development R-HSA-9675108;PI Metabolism R-HSA-1483255;PI3K/AKT Signaling In Cancer R-HSA-2219528;PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558;PIP3 Activates AKT Signaling R-HSA-1257604;Phospholipid Metabolism R-HSA-1483257;RET Signaling R-HSA-8853659;Regulation Of Signaling By CBL R-HSA-912631;Signal Transduction R-HSA-162582;Signaling By Erythropoietin R-HSA-9006335;Signaling By Interleukins R-HSA-449147;Signaling By B Cell Receptor (BCR) R-HSA-983705;Synthesis Of PIPs At Plasma Membrane R-HSA-1660499"
CMSS1,,,,,,
CMYA5,,,,,,
CNIH4,,,,,,
CNMD,,,,,,
CNNM1,,,,,,
CNNM3,,,,,,
CNST,,,,,,
CNTLN,,,,,,
CNTN6,,,,,,Axon Guidance R-HSA-422475;CHL1 Interactions R-HSA-447041;Developmental Biology R-HSA-1266738;L1CAM Interactions R-HSA-373760;Nervous System Development R-HSA-9675108
CNTNAP3,,,,,,
CNTNAP4,,,,,,
COASY,,,,,Pantothenate and CoA biosynthesis,Coenzyme A Biosynthesis R-HSA-196783;Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Nucleotide Biosynthesis R-HSA-8956320;Purine Ribonucleoside Monophosphate Biosynthesis R-HSA-73817;Vitamin B5 (Pantothenate) Metabolism R-HSA-199220
COIL,,,,Spermatogenesis,,
COLQ,,,,,,
CORIN,,,,,,Cardiac Conduction R-HSA-5576891;Muscle Contraction R-HSA-397014;Physiological Factors R-HSA-5578768
CPA4,,,,,,Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377;Metabolism Of Proteins R-HSA-392499;Peptide Hormone Metabolism R-HSA-2980736
CPEB1,,,,,Oocyte meiosis;Progesterone-mediated oocyte maturation,
CPNE9,,,,,,
CPZ,,,,,,
CREG2,,,,,,
CRIPT,,,,,,
CRY2,,,,,Circadian rhythm,Circadian Clock R-HSA-400253
CRYBB3,,,,,,
CRYBG3,,,,,,
CRYGC,,,,,,
CRYZL1,,,,,,
CSNK1A1L,,,,,Alzheimer disease;Breast cancer;Gastric cancer;Hedgehog signaling pathway;Hepatocellular carcinoma;Human papillomavirus infection;Pathways of neurodegeneration;Wnt signaling pathway,
CSNK1G1,,,,,Hedgehog signaling pathway,
CSRP3,,,,Myogenesis,,
CST2,,,,,Salivary secretion,
CST4,,,,,Salivary secretion,
CST5,,,,,Salivary secretion,
CTAG1B,,,,,,
CTCFL,,,,,,
CTXN3,,,,,,
CYP20A1,,,,,,
CYREN,,,,,,
DAOA,,,,,,
DBN1,,,,,,"RHO GTPase Cycle R-HSA-9012999;RHOBTB GTPase Cycle R-HSA-9706574;RHOBTB1 GTPase Cycle R-HSA-9013422;RHOBTB2 GTPase Cycle R-HSA-9013418;RHOD GTPase Cycle R-HSA-9013405;RHOH GTPase Cycle R-HSA-9013407;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542"
DBR1,,,,,,
DDI2,,,,,,
DDX1,,,,,,Metabolism Of RNA R-HSA-8953854;tRNA Processing R-HSA-72306;tRNA Processing In Nucleus R-HSA-6784531
DDX20,,,,,RNA transport,Disease R-HSA-1643685;Infectious Disease R-HSA-5663205;Metabolism Of RNA R-HSA-8953854;Metabolism Of Non-Coding RNA R-HSA-194441;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678;SARS-CoV-2-host Interactions R-HSA-9705683
DDX27,,,,,,
DDX28,,,,,,
DDX31,,,,,,
DDX43,,,,,,
DDX50,,,,,,
DDX51,,,,,,
DDX53,,,,,,
DDX55,,,,,,
DEPDC7,,,,,,
DHDDS,,,,,Terpenoid backbone biosynthesis,"Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;RAC1 GTPase Cycle R-HSA-9013149;RHO GTPase Effectors R-HSA-195258;RHO GTPase Cycle R-HSA-9012999;RHO GTPases Activate CIT R-HSA-5625900;RHOA GTPase Cycle R-HSA-8980692;RHOB GTPase Cycle R-HSA-9013026;RHOC GTPase Cycle R-HSA-9013106;Signal Transduction R-HSA-162582;Signaling By Rho GTPases R-HSA-194315;Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542;Synthesis Of Dolichyl-phosphate R-HSA-446199;Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219"
DHODH,,,,,Pyrimidine metabolism,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Biosynthesis R-HSA-8956320
DHRS1,,,,Xenobiotic Metabolism,,
DHX29,,,,,,
DHX30,,,,,,
DHX57,,,,,,
DIS3L2,,,,,,
DLEC1,,,,,,
DLX4,,,,,,
DMBX1,,,,,,
DMPK,,,,Myogenesis,,Cardiac Conduction R-HSA-5576891;Ion Homeostasis R-HSA-5578775;Muscle Contraction R-HSA-397014
DMWD,,,,,,
DMXL1,,,,,,
DNAH1,,,,,Amyotrophic lateral sclerosis;Huntington disease;Pathways of neurodegeneration,
DNAH14,,,,,Amyotrophic lateral sclerosis;Huntington disease;Pathways of neurodegeneration,
DNAH2,,,,,Amyotrophic lateral sclerosis;Huntington disease;Pathways of neurodegeneration,
DNAH8,,,,,Amyotrophic lateral sclerosis;Huntington disease;Pathways of neurodegeneration,
DNAI1,,,,,Amyotrophic lateral sclerosis;Huntington disease;Pathways of neurodegeneration,
DNAJA3,,,,,Viral carcinogenesis,
DNAJB5,,,,,,
DNAJC17,,,,,,
DOC2A,,,,,,
DPAGT1,,,,,N-Glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
DPF2,,,,,,
DPF3,,,,,Hepatocellular carcinoma;Thermogenesis,
