gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
BNC1,no,0.043,0.011,489,132,-1.918
BNC2,no,0.436,0.46,4998,5372,0.075
BNIP3,no,27.04,17.418,309692,203522,-0.635
BOLL,yes,0.132,0.026,1513,306,-2.335
BRAF,no,9.828,9.385,112563,109665,-0.067
BRCA1,no,0.771,0.492,8835,5745,-0.65
BRCA2,no,0.506,0.309,5797,3612,-0.711
BRD3,no,4.394,4.673,50325,54607,0.089
BRD4,no,16.451,15.8,188408,184619,-0.058
BRDT,no,0.086,0.012,982,138,-2.86
BRI3BP,no,6.413,4.585,73452,53579,-0.484
BRINP1,no,0.04,0.021,459,241,-0.958
BRIP1,no,0.424,0.311,4855,3630,-0.448
BRIX1,no,3.742,3.079,42861,35972,-0.282
BRSK2,no,5.297,6.258,60669,73125,0.241
BSDC1,no,8.075,7.267,92486,84911,-0.152
BST1,no,0.404,0.53,4625,6191,0.392
BTAF1,no,9.198,10.573,105346,123548,0.201
BTBD9,no,2.935,3.539,33613,41347,0.27
BTK,no,0.95,1.736,10879,20284,0.87
BTLA,no,0.069,0.046,787,538,-0.578
BTN3A1,no,1.879,2.522,21525,29468,0.424
BTNL2,no,0.019,,222,0,
BTRC,no,3.713,4.676,42527,54637,0.333
BUB1,no,0.225,0.211,2580,2471,-0.091
BUB1B,no,0.215,0.158,2462,1843,-0.447
BVES,no,0.369,0.356,4227,4154,-0.054
C1QBP,no,21.567,16.001,247001,186964,-0.431
C1QL3,no,0.074,0.013,845,153,-2.494
C1QTNF1,no,1.445,0.78,16553,9116,-0.89
C1QTNF6,no,0.775,1.317,8879,15387,0.764
C1QTNF9,no,0.172,0.044,1973,511,-1.978
C1RL,no,16.209,14.772,185643,172609,-0.134
C3AR1,no,1.863,1.889,21333,22070,0.02
C4A,no,12.63,13.573,144651,158601,0.104
C4B,no,10.639,14.634,121843,170989,0.46
C5,no,3.916,4.694,44854,54852,0.261
C5AR1,no,2.776,3.289,31795,38435,0.245
C6,no,8.421,6.748,96440,78851,-0.319
C8B,yes,0.045,0.014,516,158,-1.736
C8G,no,0.029,0.017,333,195,-0.801
C9,yes,0.032,,366,0,
CA10,no,0.064,0.013,729,147,-2.339
CA12,no,15.295,17.295,175172,202089,0.177
CA14,no,0.044,0.013,505,154,-1.742
CA4,no,2.352,2.623,26935,30654,0.158
CA9,no,0.46,0.708,5263,8275,0.624
CABCOCO1,no,0.459,0.065,5253,758,-2.822
CABP4,no,0.243,0.242,2786,2831,-0.006
CABYR,no,0.153,0.105,1757,1225,-0.549
CACNA1B,no,0.152,0.123,1741,1440,-0.303
CACNA1C,no,1.333,1.217,15270,14215,-0.132
CACNA1D,no,1.15,0.96,13170,11215,-0.261
CACNA1G,no,0.061,0.032,695,379,-0.904
CACNA1H,no,1.018,1.321,11657,15440,0.377
CACNA2D1,no,0.737,0.636,8446,7435,-0.213
CACNG3,no,0.051,0.013,587,156,-1.941
CACNG4,no,0.317,0.314,3634,3665,-0.017
CACNG5,no,0.096,0.095,1105,1109,-0.024
CACUL1,no,5.348,4.837,61250,56514,-0.145
CACYBP,no,5.882,4.101,67370,47923,-0.52
CAD,no,4.063,4.231,46530,49436,0.058
CADM3,no,0.282,0.446,3225,5210,0.663
CADM4,no,5.293,4.61,60625,53872,-0.199
CALB1,no,0.115,0.056,1312,659,-1.022
CALB2,no,0.047,0.068,535,793,0.539
CALCA,no,0.019,,218,0,
CALCB,no,0.86,0.585,9844,6832,-0.556
CALCR,no,0.066,0.034,760,393,-0.98
CALCRL,no,1.821,1.473,20854,17212,-0.306
CALM3,no,16.504,14.013,189023,163741,-0.236
CALML3,no,0.033,,378,0,
CALR3,no,0.04,0.019,456,224,-1.054
CAMK1,no,2.662,2.799,30483,32702,0.072
CAMK2A,no,0.038,0.012,431,141,-1.641
CAMK2B,no,0.397,0.229,4543,2680,-0.79
CAMK2D,no,3.496,4.151,40034,48503,0.248
CAMK2G,no,2.392,3.066,27398,35823,0.358
CAMKV,no,0.025,0.009,287,100,-1.55
CAMP,no,0.04,,459,0,
CAMSAP2,no,2.308,2.099,26436,24527,-0.137
CAND1,no,9.822,10.867,112496,126981,0.146
CANX,no,50.662,44.115,580234,515474,-0.2
CAPN1,no,5.531,5.052,63351,59034,-0.131
CAPN3,no,0.787,1.487,9019,17378,0.917
CARD10,no,3.276,4.448,37523,51979,0.441
CARD11,no,1.053,1.496,12055,17476,0.507
CARD14,no,0.029,0.033,330,386,0.197
CARD8,no,3.012,3.645,34500,42586,0.275
CARD9,no,0.081,0.202,932,2362,1.313
CARF,no,2.29,2.613,26232,30535,0.19
CARM1,no,4.01,4.775,45930,55800,0.252
CARTPT,no,0.07,0.021,796,248,-1.711
CASC8,no,0.036,0.013,415,155,-1.45
CASK,no,5.086,4.438,58249,51853,-0.197
CASP1,no,1.174,2.209,13447,25806,0.912
CASP10,no,1.886,2.387,21601,27893,0.34
CASP2,no,3.772,3.93,43205,45924,0.059
CASP3,no,4.989,4.109,57135,48018,-0.28
CASP6,no,4.177,3.646,47838,42604,-0.196
