source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
shared,05_immune_NK_ILC,KIR2DL1,,both,0.027,0.014,0.027,
shared,05_immune_NK_ILC,KIR2DL4,,both,0.02,0.009,0.02,
shared,05_immune_NK_ILC,KIR3DL1,,both,0.019,0.009,0.019,
shared,05_immune_NK_ILC,KIT,ILC2,both,0.308,0.525,0.525,
shared,05_immune_NK_ILC,KLRB1,,both,0.216,0.21,0.216,
shared,05_immune_NK_ILC,KLRC1,,both,0.134,0.177,0.177,
shared,05_immune_NK_ILC,KLRC2,,both,0.021,0.0,0.021,
shared,05_immune_NK_ILC,KLRD1,,both,0.075,0.058,0.075,
shared,05_immune_NK_ILC,KLRF1,,both,0.359,0.352,0.359,
shared,05_immune_NK_ILC,KLRG1,,both,0.392,0.399,0.399,
shared,05_immune_NK_ILC,KLRK1,,both,0.252,0.379,0.379,
shared,05_immune_NK_ILC,NCAM1,,canonical,0.984,1.405,1.405,
shared,05_immune_NK_ILC,NCR1,,both,0.024,0.019,0.024,
shared,05_immune_NK_ILC,NCR3,,both,0.05,0.033,0.05,
shared,05_immune_NK_ILC,PRF1,,both,0.049,0.12,0.12,
shared,05_immune_NK_ILC,RORC,ILC2,both,3.964,8.598,8.598,
shared,05_immune_NK_ILC,SH2D1B,,cellxgene,0.044,0.04,0.044,
shared,05_immune_NK_ILC,SMARCA2,,cellxgene,11.924,11.844,11.924,
shared,05_immune_NK_ILC,TBX21,,both,0.046,0.087,0.087,
shared,05_immune_NK_ILC,TKTL1,,cellxgene,0.044,0.019,0.044,
shared,05_immune_NK_ILC,TNFSF11,,cellxgene,0.195,0.162,0.195,
shared,06_immune_myeloid,ADAM8,,cellxgene,1.243,2.199,2.199,
shared,06_immune_myeloid,ADGRE2,,cellxgene,0.872,1.211,1.211,
shared,06_immune_myeloid,ALDH2,,cellxgene,14.451,12.373,14.451,
shared,06_immune_myeloid,ARRB2,,cellxgene,9.204,10.614,10.614,
shared,06_immune_myeloid,BATF3,DC,both,0.311,0.386,0.386,
shared,06_immune_myeloid,BCL11A,pDC,both,2.776,2.232,2.776,
shared,06_immune_myeloid,BCL2A1,,cellxgene,0.333,0.358,0.358,
shared,06_immune_myeloid,BID,,cellxgene,1.289,0.952,1.289,
shared,06_immune_myeloid,C5AR1,,cellxgene,2.776,3.289,3.289,
shared,06_immune_myeloid,CCL18,,cellxgene,0.053,0.023,0.053,
shared,06_immune_myeloid,CCR1,,cellxgene,1.713,1.335,1.713,
shared,06_immune_myeloid,CCR2,monocyte,both,0.497,1.363,1.363,
shared,06_immune_myeloid,CD14,,both,6.434,7.258,7.258,
shared,06_immune_myeloid,CD163,,both,4.466,4.626,4.626,
shared,06_immune_myeloid,CD1C,DC,both,0.049,0.07,0.07,
shared,06_immune_myeloid,CD1D,,cellxgene,0.54,0.965,0.965,
shared,06_immune_myeloid,CD33,,both,0.267,0.52,0.52,
shared,06_immune_myeloid,CD68,,both,3.913,4.414,4.414,
shared,06_immune_myeloid,CD84,,cellxgene,1.099,1.503,1.503,
