gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
CD70,,,no,ENSG00000125726,CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70),Membrane,medullary thymic epithelial cell;CD4-positive helper T cell;T-helper 17 cell;regulatory T cell;exhausted T cell,CD70,0.914,0.532,0.914,4244,1285,-0.782,KEGG,Cytokine-cytokine receptor interaction,False
CNTF,,,no,ENSG00000242689,Ciliary neurotrophic factor (CNTF),Cytoplasm,,LIFR,0.347,0.39,0.39,1611,943,0.169,KEGG,Cytokine-cytokine receptor interaction,True
CSF1,,,no,ENSG00000184371,Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF),Cell membrane,blood cell;granulocyte;mast cell,CSF,1.916,1.908,1.916,8891,4611,-0.006,KEGG,Cytokine-cytokine receptor interaction,True
CSF1R,,,no,ENSG00000182578,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R),Cell membrane,"phagocyte;macrophage;elicited macrophage;alternatively activated macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;colon macrophage;Hofbauer cell;osteoclast;professional antigen presenting cell;myeloid leukocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell;macrophage dendritic cell progenitor",CSF,1.777,1.562,1.777,8245,3774,-0.186,KEGG,Cytokine-cytokine receptor interaction,False
CSF2,,,no,ENSG00000164400,Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim),Secreted,"endothelial cell of umbilical vein;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;group 3 innate lymphoid cell",IL4,0.041,0.053,0.053,189,127,0.368,KEGG,Cytokine-cytokine receptor interaction,False
CSF2RA,,,no,ENSG00000198223,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116),Cell membrane,"elicited macrophage;inflammatory macrophage;microglial cell;colon macrophage;mononuclear phagocyte;placental villous trophoblast;syncytiotrophoblast cell;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human",IL4,1.319,1.046,1.319,6123,2527,-0.336,KEGG,Cytokine-cytokine receptor interaction,False
CSF2RB,,,no,ENSG00000100368,Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131),Membrane,follicular dendritic cell;granulocyte;basophil;eosinophil;plasmacytoid dendritic cell;basophil mast progenitor cell,IL4,1.762,2.063,2.063,8178,4987,0.228,KEGG,Cytokine-cytokine receptor interaction,False
CSF3,,,no,ENSG00000108342,Granulocyte colony-stimulating factor (G-CSF) (Pluripoietin) (Filgrastim) (Lenograstim),Secreted,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;endothelial cell;endothelial cell of vascular tree;myometrial cell;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,CSF3,0.027,,0.027,123,0,,KEGG,Cytokine-cytokine receptor interaction,False
CSF3R,,,no,ENSG00000119535,Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114),Secreted,"classical monocyte;CD14-positive, CD16-negative classical monocyte;bone marrow cell;granulocyte monocyte progenitor cell;placental villous trophoblast;syncytiotrophoblast cell;blood cell;granulocyte;neutrophil;myeloid leukocyte;monocyte;CD14-positive monocyte;myeloid cell;promyelocyte",CSF3,0.808,1.361,1.361,3750,3290,0.752,KEGG,Cytokine-cytokine receptor interaction,False
CX3CL1,,,no,ENSG00000006210,Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1),Cell membrane,duct epithelial cell;luminal epithelial cell of mammary gland;squamous epithelial cell;blood vessel endothelial cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;endothelial cell;endothelial cell of vascular tree;mammary gland epithelial cell,CX3C,0.353,0.789,0.789,1639,1907,1.16,KEGG,Cytokine-cytokine receptor interaction,False
