gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
FASLG,,,no,ENSG00000117560,Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178),Cell membrane,"activated CD8-positive, alpha-beta T cell;gamma-delta T cell;intraepithelial lymphocyte;CD16-negative, CD56-bright natural killer cell, human",,0.073,0.132,0.132,340,319,0.849,HALLMARK,Apoptosis,False
FEZ1,,,no,ENSG00000149557,Fasciculation and elongation protein zeta-1 (Zygin I) (Zygin-1),Cytoplasm,radial glial cell;forebrain radial glial cell;cortical interneuron;cerebral cortex GABAergic interneuron;Cajal-Retzius cell;connective tissue cell;fibroblast;fibroblast of lung,,0.084,0.099,0.099,388,239,0.242,HALLMARK,Apoptosis,False
GADD45A,,,no,ENSG00000116717,Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1),Nucleus,myoepithelial cell of mammary gland;urothelial cell;bladder urothelial cell;epithelial cell of uterus;epithelial cell of prostate;basal cell of prostate epithelium;epithelial cell of urethra;myometrial cell;bladder cell,,3.576,2.255,3.576,16594,5450,-0.665,HALLMARK,Apoptosis,True
GCH1,,,no,ENSG00000131979,GTP cyclohydrolase 1,Cytoplasm,type EC enteroendocrine cell;pancreatic D cell;pancreatic PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon;sympathetic neuron,,1.318,1.548,1.548,6119,3741,0.231,HALLMARK,Apoptosis,True
GSR,,,no,ENSG00000104687,"Glutathione reductase, mitochondrial (GR) (GRase)",Cytoplasm,,,4.715,3.43,4.715,21881,8291,-0.459,HALLMARK,Apoptosis,True
GSTM1,,,no,ENSG00000134184,Glutathione S-transferase Mu 1,Cytoplasm,,,0.712,1.903,1.903,3305,4600,1.418,HALLMARK,Apoptosis,True
HGF,,,no,ENSG00000019991,Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF),,promyelocyte;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of mammary gland;fibroblast of breast;mural cell,HGF,0.317,0.593,0.593,1472,1434,0.904,HALLMARK,Apoptosis,False
HMGB2,,,no,ENSG00000164104,High mobility group protein B2 (High mobility group protein 2) (HMG-2),Nucleus,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;large pre-B-II cell;promonocyte;erythroid lineage cell;primitive red blood cell;myelocyte;hematopoietic precursor cell;pro-B cell;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,0.254,0.369,0.369,1180,892,0.538,HALLMARK,Apoptosis,False
HMOX1,,,no,ENSG00000100292,Heme oxygenase 1 (HO-1),Endoplasmic reticulum membrane,"epithelial cell of lacrimal sac;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;type II pneumocyte;endothelial cell of vascular tree;elicited macrophage;alternatively activated macrophage;Hofbauer cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;lung secretory cell",,1.93,1.765,1.93,8958,4267,-0.129,HALLMARK,Apoptosis,False
IFITM3,,,no,,,,,,11.453,11.183,11.453,53151,27027,-0.034,HALLMARK,Apoptosis,True
IFNB1,,,no,ENSG00000171855,Interferon beta (IFN-beta) (Fibroblast interferon),Secreted,,IFN-I,0.047,0.092,0.092,219,222,0.961,HALLMARK,Apoptosis,True
IFNGR1,,,no,ENSG00000027697,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;microglial cell,IFN-II,8.737,6.208,8.737,40546,15004,-0.493,HALLMARK,Apoptosis,True
IGF2R,,,no,ENSG00000197081,Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222),Golgi apparatus membrane,endocardial cell,IGF,12.792,9.688,12.792,59366,23414,-0.401,HALLMARK,Apoptosis,True
