gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
IRF8,,,no,ENSG00000140968,Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP),Nucleus,"bone marrow cell;granulocyte monocyte progenitor cell;leukocyte;professional antigen presenting cell;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;dendritic cell, human;mature B cell;memory B cell;B-1b B cell;follicular B cell;germinal center B cell;monocyte;B cell;common dendritic progenitor;macrophage dendritic cell progenitor;pre-conventional dendritic cell;early T lineage precursor",,3.139,2.725,3.139,14568,6586,-0.204,HALLMARK,Interferon Gamma Response,False
IRF9,,,no,,,,,,15.125,12.902,15.125,70194,31182,-0.229,HALLMARK,Interferon Gamma Response,True
ISG15,,,no,,,,,,7.171,6.29,7.171,33279,15203,-0.189,HALLMARK,Interferon Gamma Response,True
ITGB7,,,no,ENSG00000139626,Integrin beta-7 (Gut homing receptor beta subunit),Cell membrane,"plasmablast;IgA plasmablast;lymphocyte;CD8-positive, alpha-beta cytotoxic T cell;exhausted T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;CD16-positive, CD56-dim natural killer cell, human;group 2 innate lymphoid cell",FN1;CDH1;L1CAM;MADCAM;VCAM,1.772,1.378,1.772,8224,3330,-0.363,HALLMARK,Interferon Gamma Response,False
JAK2,,,no,ENSG00000096968,Tyrosine-protein kinase JAK2,Endomembrane system,basal cell of epidermis;stem cell of epidermis;mesothelial fibroblast,,3.221,2.217,3.221,14948,5359,-0.539,HALLMARK,Interferon Gamma Response,False
KLRK1,,,no,ENSG00000213809,NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314),Cell membrane,"leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD8-positive, alpha-beta T cell;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature T cell;memory T cell;naive T cell;cytotoxic T cell;double negative T regulatory cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",MHC-I;NKG2D,1.444,1.266,1.444,6703,3059,-0.19,HALLMARK,Interferon Gamma Response,False
LATS2,,,no,ENSG00000150457,Serine/threonine-protein kinase LATS2,Cytoplasm,,,0.992,0.879,0.992,4604,2125,-0.174,HALLMARK,Interferon Gamma Response,True
MT2A,,,no,,,,,,12.879,5.237,12.879,59772,12657,-1.298,HALLMARK,Interferon Gamma Response,True
MVP,,,no,ENSG00000013364,Major vault protein (MVP) (Lung resistance-related protein),Cytoplasm,,,9.652,6.786,9.652,44795,16401,-0.508,HALLMARK,Interferon Gamma Response,True
MX1,,,no,ENSG00000157601,Interferon-induced GTP-binding protein Mx1 (Interferon-induced protein p78) (IFI-78K) (Interferon-regulated resistance GTP-binding protein MxA) (Myxoma resistance protein 1) (Myxovirus resistance protein 1),Cytoplasm,"plasmacytoid dendritic cell, human;dendritic cell, human;IgA plasmablast;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,18.568,12.596,18.568,86174,30444,-0.56,HALLMARK,Interferon Gamma Response,False
