gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
JAK1,,,no,ENSG00000162434,Tyrosine-protein kinase JAK1,Endomembrane system,"mature conventional dendritic cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;group 2 innate lymphoid cell, human;fibro/adipogenic progenitor cell",,8.522,4.606,8.522,39549,11131,-0.888,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
JAK2,,,no,ENSG00000096968,Tyrosine-protein kinase JAK2,Endomembrane system,basal cell of epidermis;stem cell of epidermis;mesothelial fibroblast,,3.221,2.217,3.221,14948,5359,-0.539,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
JAK3,,,no,ENSG00000105639,Tyrosine-protein kinase JAK3,Endomembrane system,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;mature NK T cell",,5.762,4.755,5.762,26740,11492,-0.277,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
KIT,,,no,ENSG00000157404,Mast/stem cell growth factor receptor Kit (SCFR),Cytoplasm,"kidney collecting duct intercalated cell;interstitial cell of Cajal;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of trachea;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte;melanocyte of skin;granulocyte;basophil;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",KIT,0.404,0.291,0.404,1875,703,-0.474,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
KITLG,,,no,ENSG00000049130,Kit ligand (Mast cell growth factor) (MGF) (Stem cell factor) (SCF) (c-Kit ligand),Secreted,kidney collecting duct principal cell;renal principal cell;granulosa cell;kidney connecting tubule epithelial cell;Purkinje cell,,0.85,0.961,0.961,3945,2323,0.177,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
KL,,,no,ENSG00000133116,Klotho,Secreted,kidney distal convoluted tubule epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell,,0.217,0.209,0.217,1005,504,-0.054,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
MAP2K1,,,no,ENSG00000169032,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1),Cytoplasm,,,2.842,1.939,2.842,13191,4687,-0.552,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
MAPK1,,,no,ENSG00000100030,Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1),Cytoplasm,"CD8-positive, alpha-beta cytokine secreting effector T cell",,3.184,2.71,3.184,14777,6550,-0.233,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
MAPK12,,,no,ENSG00000188130,Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12),Cytoplasm;Nucleus;Mitochondrion,,,0.458,0.447,0.458,2127,1081,-0.035,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
MAPK3,,,no,ENSG00000102882,Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3),Cytoplasm,,,5.82,4.339,5.82,27011,10487,-0.424,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
MOV10,,,no,ENSG00000155363,Helicase MOV-10,Cytoplasm,,,3.762,3.044,3.762,17460,7357,-0.306,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,True
MYC,,,no,ENSG00000136997,Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64),Nucleus,"mesenchymal stem cell;skeletal muscle satellite stem cell;basal cell of prostate epithelium;tongue muscle cell;skeletal muscle satellite cell;naive thymus-derived CD8-positive, alpha-beta T cell;erythroid lineage cell;erythroid progenitor cell;tendon cell",,1.858,1.706,1.858,8622,4122,-0.123,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
NCAM1,,,no,ENSG00000149294,Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56),Secreted,lens epithelial cell;anterior lens cell;secondary lens fiber;mature NK T cell;neural cell;neuron associated cell;oligodendrocyte precursor cell;glial cell;macroglial cell;Bergmann glial cell;oligodendrocyte;Schwann cell;amacrine cell;sympathetic neuron,NCAM,0.13,0.158,0.158,605,383,0.282,REACTOME,MAPK Family Signaling Cascades R-HSA-5683057,False
