gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
SLC2A1,,,no,ENSG00000117394,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)",Cell membrane,cerebral cortex endothelial cell;trophoblast giant cell;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;erythrocyte;enucleate erythrocyte;erythroid lineage cell;reticulocyte;Mueller cell;fibroblast,,3.209,1.723,3.209,14892,4165,-0.897,HALLMARK,mTORC1 Signaling,False
SLC2A3,,,no,ENSG00000059804,"Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)",Cell membrane,anterior lens cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;gut endothelial cell;granulocyte;neutrophil;liver dendritic cell;B-1b B cell;T follicular helper cell;group 2 innate lymphoid cell,,2.576,2.647,2.647,11953,6397,0.039,HALLMARK,mTORC1 Signaling,False
SLC37A4,,,no,ENSG00000137700,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),Endoplasmic reticulum membrane,,,0.969,0.885,0.969,4497,2138,-0.131,HALLMARK,mTORC1 Signaling,True
SLC7A11,,,no,ENSG00000151012,Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland,,0.051,0.063,0.063,237,152,0.3,HALLMARK,mTORC1 Signaling,True
SLC7A5,,,no,ENSG00000103257,Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter),Apical cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;cerebral cortex endothelial cell;melanocyte,,0.794,0.67,0.794,3686,1620,-0.245,HALLMARK,mTORC1 Signaling,False
SLC9A3R1,,,no,ENSG00000109062,,,"T-helper 17 cell;CD8-positive, alpha-beta cytotoxic T cell;exhausted T cell;CD16-positive, CD56-dim natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,4.493,5.066,5.066,20851,12244,0.173,HALLMARK,mTORC1 Signaling,False
SORD,,,no,ENSG00000140263,Sorbitol dehydrogenase (SDH),Mitochondrion membrane,goblet cell;respiratory goblet cell;tracheal goblet cell;epithelial cell of prostate;luminal cell of prostate epithelium,,1.172,0.934,1.172,5438,2258,-0.327,HALLMARK,mTORC1 Signaling,True
SQLE,,,no,ENSG00000104549,Squalene monooxygenase,Microsome membrane,Leydig cell;forebrain radial glial cell,,1.376,1.154,1.376,6385,2790,-0.253,HALLMARK,mTORC1 Signaling,True
SQSTM1,,,no,ENSG00000161011,Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62),Cytoplasm,intestinal crypt stem cell of large intestine;pancreatic PP cell;PP cell;epithelial cell of urethra;mature conventional dendritic cell,,6.789,5.997,6.789,31508,14493,-0.179,HALLMARK,mTORC1 Signaling,False
SRD5A1,,,no,ENSG00000145545,3-oxo-5-alpha-steroid 4-dehydrogenase 1,Microsome membrane,sebaceous gland cell,,1.049,0.957,1.049,4867,2313,-0.132,HALLMARK,mTORC1 Signaling,True
SYTL2,,,no,ENSG00000137501,Synaptotagmin-like protein 2 (Breast cancer-associated antigen SGA-72M) (Exophilin-4),Cell membrane,duct epithelial cell;luminal epithelial cell of mammary gland;intestine goblet cell;large intestine goblet cell;colon goblet cell;small intestine goblet cell;mammary gland epithelial cell;muscle cell;smooth muscle cell;papillary tips cell,,2.074,2.896,2.896,9627,7000,0.482,HALLMARK,mTORC1 Signaling,False
TBK1,,,no,ENSG00000183735,Serine/threonine-protein kinase TBK1,Cytoplasm,,,1.983,1.697,1.983,9204,4102,-0.225,HALLMARK,mTORC1 Signaling,True
TES,,,no,ENSG00000135269,Testin (TESS),Cytoplasm;Cell junction,myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;salivary gland cell,,5.954,4.625,5.954,27634,11179,-0.364,HALLMARK,mTORC1 Signaling,True
