gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
IL7,,,no,True,ENSG00000104432,Interleukin-7 (IL-7),Secreted,neuroendocrine cell;chromaffin cell,IL2,0.337,0.393,0.393,1565,950,0.221
INPPL1,,,no,True,ENSG00000165458,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",Cytoplasm,pulmonary ionocyte;ionocyte,,8.177,7.049,8.177,37951,17036,-0.214
INSM1,,,no,True,ENSG00000173404,Insulinoma-associated protein 1 (Zinc finger protein IA-1),Nucleus,neuroendocrine cell;type EC enteroendocrine cell;lung neuroendocrine cell;pancreatic PP cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon,,0.222,0.348,0.348,1028,841,0.652
ISL1,,,no,True,ENSG00000016082,Insulin gene enhancer protein ISL-1 (Islet-1),Nucleus,pancreatic endocrine cell;pancreatic A cell;pancreatic D cell;pancreatic PP cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of small intestine;enteroendocrine cell of colon;endocrine cell;neuron;ON-bipolar cell;rod bipolar cell;medium spiny neuron,,0.465,0.445,0.465,2157,1075,-0.063
ITIH5,,,no,True,ENSG00000123243,Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5),Secreted,pulmonary ionocyte;cerebral cortex endothelial cell;ionocyte;follicular dendritic cell;placental villous trophoblast;subcutaneous fat cell;adipocyte of breast,,0.234,0.225,0.234,1086,543,-0.059
ITPRID2,,,no,True,ENSG00000138434,Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2),Cytoplasm,type EC enteroendocrine cell;pulmonary ionocyte;acinar cell of salivary gland;ionocyte,,4.644,3.781,4.644,21554,9139,-0.297
KCNH1,,,no,True,ENSG00000143473,Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (h-eag) (hEAG1) (Voltage-gated potassium channel subunit Kv10.1),Cell membrane,neuroendocrine cell;chromaffin cell;skeletal muscle fibroblast,,0.129,0.209,0.209,600,506,0.695
KCNH6,,,no,True,ENSG00000173826,Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (hERG-2) (hERG2) (Voltage-gated potassium channel subunit Kv11.2),Membrane,lung neuroendocrine cell,,0.074,0.051,0.074,345,123,-0.547
KIAA0408,,,no,True,ENSG00000189367,Uncharacterized protein KIAA0408,,neuroendocrine cell;chromaffin cell;muscle cell;smooth muscle cell;tracheobronchial smooth muscle cell,,0.115,0.115,0.115,535,277,-0.008
KIT,,,no,True,ENSG00000157404,Mast/stem cell growth factor receptor Kit (SCFR),Cytoplasm,"kidney collecting duct intercalated cell;interstitial cell of Cajal;renal intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of trachea;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte;melanocyte of skin;granulocyte;basophil;mast cell;mucosal type mast cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",KIT,0.404,0.291,0.404,1875,703,-0.474
