gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
PSMC5,,,no,ENSG00000087191,26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG),Cytoplasm,,,12.518,9.134,12.518,58096,22076,-0.455,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMD10,,,no,ENSG00000101843,26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK)),Cytoplasm,,,0.903,0.888,0.903,4191,2146,-0.024,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMD2,,,no,ENSG00000175166,26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2),,fallopian tube secretory epithelial cell,,6.213,4.966,6.213,28836,12003,-0.323,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMD3,,,no,ENSG00000108344,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),,,,7.473,5.093,7.473,34681,12310,-0.553,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSMD4,,,no,ENSG00000159352,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein),,placental villous trophoblast,,7.275,4.642,7.275,33761,11219,-0.648,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
PSME3,,,no,ENSG00000131467,Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma),Nucleus,,,5.832,5.017,5.832,27068,12126,-0.217,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
RBCK1,,,no,ENSG00000125826,RanBP-type and C3HC4-type zinc finger-containing protein 1,,,,4.27,2.934,4.27,19815,7091,-0.541,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
RBX1,,,no,ENSG00000100387,E3 ubiquitin-protein ligase RBX1,Cytoplasm,erythroid lineage cell,,1.086,0.684,1.086,5040,1653,-0.667,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
S100A1,,,no,ENSG00000160678,Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1),Cytoplasm,glandular epithelial cell;acinar cell;acinar cell of salivary gland;fallopian tube secretory epithelial cell;slow muscle cell;chondrocyte;tracheobronchial serous cell;serous cell of epithelium of bronchus,,0.42,0.331,0.42,1951,801,-0.343,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
SEC13,,,no,ENSG00000157020,Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein),Cytoplasmic vesicle,plasmablast;macrophage dendritic cell progenitor;osteoblast,,4.054,2.508,4.054,18816,6062,-0.693,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,False
SEC14L3,,,no,ENSG00000100012,SEC14-like protein 3 (Tocopherol-associated protein 2),,,,0.073,0.151,0.151,341,366,1.043,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
SIAH1,,,no,ENSG00000196470,E3 ubiquitin-protein ligase SIAH1,Cytoplasm;Nucleus,syncytiotrophoblast cell,,2.241,1.824,2.241,10399,4409,-0.297,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
SKP1,,,no,ENSG00000113558,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),,sperm,,3.057,3.406,3.406,14187,8232,0.156,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
SKP2,,,no,ENSG00000145604,S-phase kinase-associated protein 2 (Cyclin-A/CDK2-associated protein p45) (F-box protein Skp2) (F-box/LRR-repeat protein 1) (p45skp2),Cytoplasm,,,1.436,1.32,1.436,6664,3191,-0.121,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
SMURF1,,,no,ENSG00000198742,E3 ubiquitin-protein ligase SMURF1 (hSMURF1),Cytoplasm,,,4.224,3.159,4.224,19604,7636,-0.419,REACTOME,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,True
